dynasty,period,book_name,author,full_book_info,total_chars,file_count,unique_variants_found
元,元代,,革象新書, (革象新書),433740,90,10
元,元代,一山文集,元,一山文集 (元),616190,100,10
元,元代,三事忠告,元,三事忠告 (元),162770,30,10
元,元代,三傳辨疑,元,三傳辨疑 (元),2680200,210,10
元,元代,三教平心論,劉謐,三教平心論 (劉謐),215230,20,10
元,元代,三洞讚頌靈章,元,三洞讚頌靈章 (元),132050,40,10
元,元代,三要達道篇,元,三要達道篇 (元),5070,10,10
元,元代,上方大洞真元圖書繼說終篇,,上方大洞真元圖書繼說終篇,18090,10,10
元,元代,上方大洞真元妙經圖,,上方大洞真元妙經圖,23340,10,10
元,元代,上方大洞真元陰陽陟降圖書後解,,上方大洞真元陰陽陟降圖書後解,33810,10,10
元,元代,上方天尊說真元通仙道經,,上方天尊說真元通仙道經,65500,10,10
元,元代,上清丹元玉真帝皇飛仙上經,,上清丹元玉真帝皇飛仙上經,13700,10,10
元,元代,上清大洞真經玉訣音義,陳景元,上清大洞真經玉訣音義 (陳景元),66650,10,10
元,元代,上清明堂元真經訣,,上清明堂元真經訣,42760,10,10
元,元代,不繫舟漁集,元,不繫舟漁集 (元),766040,170,10
元,元代,世醫得效方,元,世醫得效方 (元),3197210,210,10
元,元代,中原音韻,元,中原音韻 (元),238470,40,10
元,元代,中庵集,元,中庵集 (元),1163990,210,10
元,元代,九天應元雷聲普化天尊玉樞寶懺,,九天應元雷聲普化天尊玉樞寶懺,26680,10,10
元,元代,九天應元雷聲普化天尊玉樞寶經,,九天應元雷聲普化天尊玉樞寶經,32260,10,10
元,元代,九天應元雷聲普化天尊玉樞寶經集註,徐道齡,九天應元雷聲普化天尊玉樞寶經集註 (徐道齡),154530,10,10
元,元代,九靈山房集,元,九靈山房集 (元),2043910,310,10
元,元代,乾元子三始論,,乾元子三始論,7140,10,10
元,元代,五峰集,李孝光,五峰集 (李孝光),993350,60,10
元,元代,五經說,元,五經說 (元),556350,80,10
元,元代,伊濱集,元,伊濱集 (元),1111610,250,10
元,元代,佛祖歷代通載,念常,佛祖歷代通載 (念常),4161210,220,10
元,元代,佛說壞相金剛陀羅尼經,沙囉巴,佛說壞相金剛陀羅尼經 (沙囉巴),17610,10,10
元,元代,佛說大白傘蓋總持陀羅尼經,真智,佛說大白傘蓋總持陀羅尼經 (真智),55100,10,10
元,元代,佛說文殊菩薩最勝真實名義經,沙囉巴,佛說文殊菩薩最勝真實名義經 (沙囉巴),67540,10,10
元,元代,佛頂大白傘蓋陀羅尼經,沙囉巴,佛頂大白傘蓋陀羅尼經 (沙囉巴),47490,10,10
元,元代,作義要訣,元,作義要訣 (元),34840,20,10
元,元代,佩玉齋類藁,元,佩玉齋類藁 (元),453070,110,10
元,元代,來鶴亭集,元,來鶴亭集 (元),216700,100,10
元,元代,俟菴集,李存,俟菴集 (李存),1298300,320,10
元,元代,修真十書雜著捷徑,元,修真十書雜著捷徑 (元),236760,80,10
元,元代,修真太極混元指玄圖,1154,修真太極混元指玄圖 (1154),23290,10,10
元,元代,修辭鑑衡,元,修辭鑑衡 (元),187990,30,10
元,元代,修鍊須知,元,修鍊須知 (元),62760,10,10
元,元代,倪雲林先生詩集,元,倪雲林先生詩集 (元),505020,80,10
元,元代,偃溪廣聞禪師語錄,元清,偃溪廣聞禪師語錄 (元清),419760,20,10
元,元代,傅與礪集,傅若金,傅與礪集 (傅若金),1007900,200,10
元,元代,傲軒吟稿,元,傲軒吟稿 (元),110130,20,10
元,元代,僑吳集,元,僑吳集 (元),1150950,140,10
元,元代,儀禮逸經,元,儀禮逸經 (元),141840,30,10
