dynasty,author,variant,count,recalc_freq_per_10k,book_name,total_chars
元,1154,們,0,0.0,1,2329
元,1154,偉,0,0.0,1,2329
元,1154,弭,0,0.0,1,2329
元,1154,彌,0,0.0,1,2329
元,1154,懣,0,0.0,1,2329
元,1154,每,0,0.0,1,2329
元,1154,滿,0,0.0,1,2329
元,1154,瞞,0,0.0,1,2329
元,1154,輩,0,0.0,1,2329
元,1154,門,2,8.587376556462,1,2329
元,一辯,們,0,0.0,1,8449
元,一辯,偉,0,0.0,1,8449
元,一辯,弭,0,0.0,1,8449
元,一辯,彌,2,2.3671440407148774,1,8449
元,一辯,懣,0,0.0,1,8449
元,一辯,每,1,1.1835720203574387,1,8449
元,一辯,滿,0,0.0,1,8449
元,一辯,瞞,0,0.0,1,8449
元,一辯,輩,1,1.1835720203574387,1,8449
元,一辯,門,1,1.1835720203574387,1,8449
元,余載,們,0,0.0,1,4264
元,余載,偉,0,0.0,1,4264
元,余載,弭,0,0.0,1,4264
元,余載,彌,0,0.0,1,4264
元,余載,懣,0,0.0,1,4264
元,余載,每,1,2.345215759849906,1,4264
元,余載,滿,0,0.0,1,4264
元,余載,瞞,0,0.0,1,4264
元,余載,輩,0,0.0,1,4264
元,余載,門,0,0.0,1,4264
元,傅若金,們,0,0.0,1,100790
元,傅若金,偉,5,0.49608096041273936,1,100790
元,傅若金,弭,0,0.0,1,100790
元,傅若金,彌,3,0.2976485762476436,1,100790
元,傅若金,懣,0,0.0,1,100790
元,傅若金,每,14,1.3890266891556702,1,100790
元,傅若金,滿,17,1.686675265403314,1,100790
元,傅若金,瞞,0,0.0,1,100790
元,傅若金,輩,11,1.0913781129080264,1,100790
元,傅若金,門,23,2.281972417898601,1,100790
元,傅飛卿,們,0,0.0,1,14036
元,傅飛卿,偉,0,0.0,1,14036
元,傅飛卿,弭,0,0.0,1,14036
元,傅飛卿,彌,0,0.0,1,14036
元,傅飛卿,懣,0,0.0,1,14036
元,傅飛卿,每,0,0.0,1,14036
元,傅飛卿,滿,1,0.7124536905101169,1,14036
