dynasty,period,variant,count,recalc_freq_per_10k,num_books,total_chars
元,元代,們,141,0.007951597287050333,583,56507290
元,元代,偉,1279,0.18969000717406476,583,56507290
元,元代,弭,428,0.05421491111435899,583,56507290
元,元代,彌,1982,0.30029291914011447,583,56507290
元,元代,懣,61,0.005789804463004064,583,56507290
元,元代,每,8478,1.5774919743770597,583,56507290
元,元代,滿,4581,1.1466593581802913,583,56507290
元,元代,瞞,100,0.02551551394602583,583,56507290
元,元代,輩,3663,0.8035425812039226,583,56507290
元,元代,門,20342,3.629208332024177,583,56507290
元初期,元代,們,0,0.0,4,87156
元初期,元代,偉,0,0.0,4,87156
元初期,元代,弭,0,0.0,4,87156
元初期,元代,彌,2,0.07538862837929527,4,87156
元初期,元代,懣,0,0.0,4,87156
元初期,元代,每,2,0.07538862837929527,4,87156
元初期,元代,滿,7,1.1300669473608744,4,87156
元初期,元代,瞞,0,0.0,4,87156
元初期,元代,輩,5,0.1884715709482382,4,87156
元初期,元代,門,34,3.670404764416057,4,87156
元魏,南北朝,們,0,0.0,50,1975111
元魏,南北朝,偉,3,0.008884587206904666,50,1975111
元魏,南北朝,弭,0,0.0,50,1975111
元魏,南北朝,彌,193,1.2817697299069661,50,1975111
元魏,南北朝,懣,0,0.0,50,1975111
元魏,南北朝,每,21,0.0637432417685972,50,1975111
元魏,南北朝,滿,184,1.0173216593730323,50,1975111
元魏,南北朝,瞞,2,0.004790304423846136,50,1975111
元魏,南北朝,輩,85,0.37247551113805566,50,1975111
元魏,南北朝,門,1055,5.96827833339445,50,1975111
劉宋,南北朝,們,0,0.0,77,2194726
劉宋,南北朝,偉,11,0.02038028151775561,77,2194726
劉宋,南北朝,弭,0,0.0,77,2194726
劉宋,南北朝,彌,206,1.9763714836935615,77,2194726
劉宋,南北朝,懣,0,0.0,77,2194726
劉宋,南北朝,每,84,0.13032028145156888,77,2194726
劉宋,南北朝,滿,151,1.0878007326219097,77,2194726
劉宋,南北朝,瞞,0,0.0,77,2194726
劉宋,南北朝,輩,111,1.0692448892007833,77,2194726
劉宋,南北朝,門,851,4.888477566858276,77,2194726
北宋,宋代,們,0,0.0,24,163242
北宋,宋代,偉,0,0.0,24,163242
北宋,宋代,弭,0,0.0,24,163242
北宋,宋代,彌,6,0.14348735385647282,24,163242
北宋,宋代,懣,0,0.0,24,163242
北宋,宋代,每,8,0.30519314363098854,24,163242
北宋,宋代,滿,28,1.4578793157460028,24,163242
北宋,宋代,瞞,0,0.0,24,163242
北宋,宋代,輩,8,0.7309893463607452,24,163242
北宋,宋代,門,52,3.7723767866340143,24,163242
北宋後期,宋代,們,0,0.0,1,6548
北宋後期,宋代,偉,0,0.0,1,6548
北宋後期,宋代,弭,0,0.0,1,6548
北宋後期,宋代,彌,0,0.0,1,6548
北宋後期,宋代,懣,0,0.0,1,6548
北宋後期,宋代,每,1,1.5271838729383018,1,6548
北宋後期,宋代,滿,3,4.581551618814905,1,6548
北宋後期,宋代,瞞,0,0.0,1,6548
北宋後期,宋代,輩,0,0.0,1,6548
北宋後期,宋代,門,0,0.0,1,6548
南唐,五代十國,們,0,0.0,1,7569
南唐,五代十國,偉,0,0.0,1,7569
南唐,五代十國,弭,0,0.0,1,7569
南唐,五代十國,彌,0,0.0,1,7569
