dynasty,period,book_name,author,full_book_info,variant,count,total_chars,frequency_per_10k,file_count,recalc_freq_per_10k
元,元代,,革象新書, (革象新書),們,0,43374,0.0,9,0.0
元,元代,,革象新書, (革象新書),偉,0,43374,0.0,9,0.0
元,元代,,革象新書, (革象新書),弭,0,43374,0.0,9,0.0
元,元代,,革象新書, (革象新書),彌,1,43374,0.19045442425627548,9,0.23055286577212156
元,元代,,革象新書, (革象新書),懣,0,43374,0.0,9,0.0
元,元代,,革象新書, (革象新書),每,7,43374,1.164530320225286,9,1.613870060404851
元,元代,,革象新書, (革象新書),滿,3,43374,0.4480921305839247,9,0.6916585973163646
元,元代,,革象新書, (革象新書),瞞,0,43374,0.0,9,0.0
元,元代,,革象新書, (革象新書),輩,0,43374,0.0,9,0.0
元,元代,,革象新書, (革象新書),門,1,43374,0.8291873963515755,9,0.23055286577212156
元,元代,一山文集,元,一山文集 (元),們,0,61619,0.0,10,0.0
元,元代,一山文集,元,一山文集 (元),偉,6,61619,0.7616752735637269,10,0.9737256365731349
元,元代,一山文集,元,一山文集 (元),弭,0,61619,0.0,10,0.0
元,元代,一山文集,元,一山文集 (元),彌,4,61619,1.3621354729446855,10,0.6491504243820899
元,元代,一山文集,元,一山文集 (元),懣,0,61619,0.0,10,0.0
元,元代,一山文集,元,一山文集 (元),每,15,61619,1.7623160544114633,10,2.4343140914328374
元,元代,一山文集,元,一山文集 (元),滿,13,61619,1.4562934491453479,10,2.1097388792417924
元,元代,一山文集,元,一山文集 (元),瞞,0,61619,0.0,10,0.0
元,元代,一山文集,元,一山文集 (元),輩,18,61619,2.424680484450431,10,2.9211769097194047
元,元代,一山文集,元,一山文集 (元),門,28,61619,4.483119425932115,10,4.54405297067463
元,元代,三事忠告,元,三事忠告 (元),們,0,16277,0.0,3,0.0
元,元代,三事忠告,元,三事忠告 (元),偉,0,16277,0.0,3,0.0
元,元代,三事忠告,元,三事忠告 (元),弭,1,16277,0.3062036866923878,3,0.61436382625791
元,元代,三事忠告,元,三事忠告 (元),彌,1,16277,0.3062036866923878,3,0.61436382625791
元,元代,三事忠告,元,三事忠告 (元),懣,0,16277,0.0,3,0.0
元,元代,三事忠告,元,三事忠告 (元),每,2,16277,3.2161649425493075,3,1.22872765251582
元,元代,三事忠告,元,三事忠告 (元),滿,0,16277,0.0,3,0.0
