dynasty,period,book_name,author,full_book_info,variant,count,total_chars,frequency_per_10k,file_count,recalc_freq_per_10k
北宋,宋代,三聖御制佛牙贊,太宗,三聖御制佛牙贊 (太宗),們,0,561,0.0,1,0.0
北宋,宋代,三聖御制佛牙贊,太宗,三聖御制佛牙贊 (太宗),偉,0,561,0.0,1,0.0
北宋,宋代,三聖御制佛牙贊,太宗,三聖御制佛牙贊 (太宗),弭,0,561,0.0,1,0.0
北宋,宋代,三聖御制佛牙贊,太宗,三聖御制佛牙贊 (太宗),彌,0,561,0.0,1,0.0
北宋,宋代,三聖御制佛牙贊,太宗,三聖御制佛牙贊 (太宗),懣,0,561,0.0,1,0.0
北宋,宋代,三聖御制佛牙贊,太宗,三聖御制佛牙贊 (太宗),每,0,561,0.0,1,0.0
北宋,宋代,三聖御制佛牙贊,太宗,三聖御制佛牙贊 (太宗),滿,0,561,0.0,1,0.0
北宋,宋代,三聖御制佛牙贊,太宗,三聖御制佛牙贊 (太宗),瞞,0,561,0.0,1,0.0
北宋,宋代,三聖御制佛牙贊,太宗,三聖御制佛牙贊 (太宗),輩,0,561,0.0,1,0.0
北宋,宋代,三聖御制佛牙贊,太宗,三聖御制佛牙贊 (太宗),門,0,561,0.0,1,0.0
北宋,宋代,上洞心丹經訣,北宋,上洞心丹經訣 (北宋),們,0,13193,0.0,3,0.0
北宋,宋代,上洞心丹經訣,北宋,上洞心丹經訣 (北宋),偉,0,13193,0.0,3,0.0
北宋,宋代,上洞心丹經訣,北宋,上洞心丹經訣 (北宋),弭,0,13193,0.0,3,0.0
北宋,宋代,上洞心丹經訣,北宋,上洞心丹經訣 (北宋),彌,0,13193,0.0,3,0.0
北宋,宋代,上洞心丹經訣,北宋,上洞心丹經訣 (北宋),懣,0,13193,0.0,3,0.0
北宋,宋代,上洞心丹經訣,北宋,上洞心丹經訣 (北宋),每,4,13193,3.0628492561261536,3,3.0319108618206623
北宋,宋代,上洞心丹經訣,北宋,上洞心丹經訣 (北宋),滿,10,13193,7.872775940796725,3,7.579777154551657
北宋,宋代,上洞心丹經訣,北宋,上洞心丹經訣 (北宋),瞞,0,13193,0.0,3,0.0
北宋,宋代,上洞心丹經訣,北宋,上洞心丹經訣 (北宋),輩,1,13193,0.7010164738871363,3,0.7579777154551656
北宋,宋代,上洞心丹經訣,北宋,上洞心丹經訣 (北宋),門,3,13193,2.1949286027060837,3,2.273933146365497
北宋,宋代,上清鎭元榮靈經,北宋,上清鎭元榮靈經 (北宋),們,0,3438,0.0,1,0.0
北宋,宋代,上清鎭元榮靈經,北宋,上清鎭元榮靈經 (北宋),偉,0,3438,0.0,1,0.0
北宋,宋代,上清鎭元榮靈經,北宋,上清鎭元榮靈經 (北宋),弭,0,3438,0.0,1,0.0
北宋,宋代,上清鎭元榮靈經,北宋,上清鎭元榮靈經 (北宋),彌,0,3438,0.0,1,0.0
北宋,宋代,上清鎭元榮靈經,北宋,上清鎭元榮靈經 (北宋),懣,0,3438,0.0,1,0.0
北宋,宋代,上清鎭元榮靈經,北宋,上清鎭元榮靈經 (北宋),每,0,3438,0.0,1,0.0
北宋,宋代,上清鎭元榮靈經,北宋,上清鎭元榮靈經 (北宋),滿,0,3438,0.0,1,0.0
北宋,宋代,上清鎭元榮靈經,北宋,上清鎭元榮靈經 (北宋),瞞,0,3438,0.0,1,0.0
北宋,宋代,上清鎭元榮靈經,北宋,上清鎭元榮靈經 (北宋),輩,0,3438,0.0,1,0.0
北宋,宋代,上清鎭元榮靈經,北宋,上清鎭元榮靈經 (北宋),門,4,3438,11.634671320535194,1,11.634671320535194
北宋,宋代,九還七返龍虎金丹析理真訣,程昭,九還七返龍虎金丹析理真訣 (程昭),們,0,2887,0.0,1,0.0
北宋,宋代,九還七返龍虎金丹析理真訣,程昭,九還七返龍虎金丹析理真訣 (程昭),偉,0,2887,0.0,1,0.0
北宋,宋代,九還七返龍虎金丹析理真訣,程昭,九還七返龍虎金丹析理真訣 (程昭),弭,0,2887,0.0,1,0.0
北宋,宋代,九還七返龍虎金丹析理真訣,程昭,九還七返龍虎金丹析理真訣 (程昭),彌,0,2887,0.0,1,0.0
北宋,宋代,九還七返龍虎金丹析理真訣,程昭,九還七返龍虎金丹析理真訣 (程昭),懣,0,2887,0.0,1,0.0
北宋,宋代,九還七返龍虎金丹析理真訣,程昭,九還七返龍虎金丹析理真訣 (程昭),每,0,2887,0.0,1,0.0
北宋,宋代,九還七返龍虎金丹析理真訣,程昭,九還七返龍虎金丹析理真訣 (程昭),滿,0,2887,0.0,1,0.0
北宋,宋代,九還七返龍虎金丹析理真訣,程昭,九還七返龍虎金丹析理真訣 (程昭),瞞,0,2887,0.0,1,0.0
北宋,宋代,九還七返龍虎金丹析理真訣,程昭,九還七返龍虎金丹析理真訣 (程昭),輩,0,2887,0.0,1,0.0
北宋,宋代,九還七返龍虎金丹析理真訣,程昭,九還七返龍虎金丹析理真訣 (程昭),門,2,2887,6.927606511950121,1,6.927606511950121
北宋,宋代,修丹妙用至理論,北宋,修丹妙用至理論 (北宋),們,0,3220,0.0,1,0.0
北宋,宋代,修丹妙用至理論,北宋,修丹妙用至理論 (北宋),偉,0,3220,0.0,1,0.0
北宋,宋代,修丹妙用至理論,北宋,修丹妙用至理論 (北宋),弭,0,3220,0.0,1,0.0
北宋,宋代,修丹妙用至理論,北宋,修丹妙用至理論 (北宋),彌,0,3220,0.0,1,0.0
北宋,宋代,修丹妙用至理論,北宋,修丹妙用至理論 (北宋),懣,0,3220,0.0,1,0.0
北宋,宋代,修丹妙用至理論,北宋,修丹妙用至理論 (北宋),每,0,3220,0.0,1,0.0
北宋,宋代,修丹妙用至理論,北宋,修丹妙用至理論 (北宋),滿,0,3220,0.0,1,0.0
