dynasty,period,book_name,author,full_book_info,variant,count,total_chars,frequency_per_10k,file_count,recalc_freq_per_10k
北宋後期,宋代,金丹真一論,百玄子,金丹真一論 (百玄子),們,0,6548,0.0,1,0.0
北宋後期,宋代,金丹真一論,百玄子,金丹真一論 (百玄子),偉,0,6548,0.0,1,0.0
北宋後期,宋代,金丹真一論,百玄子,金丹真一論 (百玄子),弭,0,6548,0.0,1,0.0
北宋後期,宋代,金丹真一論,百玄子,金丹真一論 (百玄子),彌,0,6548,0.0,1,0.0
北宋後期,宋代,金丹真一論,百玄子,金丹真一論 (百玄子),懣,0,6548,0.0,1,0.0
北宋後期,宋代,金丹真一論,百玄子,金丹真一論 (百玄子),每,1,6548,1.5271838729383018,1,1.5271838729383018
北宋後期,宋代,金丹真一論,百玄子,金丹真一論 (百玄子),滿,3,6548,4.581551618814905,1,4.581551618814905
北宋後期,宋代,金丹真一論,百玄子,金丹真一論 (百玄子),瞞,0,6548,0.0,1,0.0
北宋後期,宋代,金丹真一論,百玄子,金丹真一論 (百玄子),輩,0,6548,0.0,1,0.0
北宋後期,宋代,金丹真一論,百玄子,金丹真一論 (百玄子),門,0,6548,0.0,1,0.0
