dynasty,period,book_name,author,full_book_info,variant,count,total_chars,frequency_per_10k,file_count,recalc_freq_per_10k
南宋,宋代,上清北極天心正法,南宋,上清北極天心正法 (南宋),們,0,9952,0.0,1,0.0
南宋,宋代,上清北極天心正法,南宋,上清北極天心正法 (南宋),偉,0,9952,0.0,1,0.0
南宋,宋代,上清北極天心正法,南宋,上清北極天心正法 (南宋),弭,0,9952,0.0,1,0.0
南宋,宋代,上清北極天心正法,南宋,上清北極天心正法 (南宋),彌,0,9952,0.0,1,0.0
南宋,宋代,上清北極天心正法,南宋,上清北極天心正法 (南宋),懣,0,9952,0.0,1,0.0
南宋,宋代,上清北極天心正法,南宋,上清北極天心正法 (南宋),每,4,9952,4.019292604501608,1,4.019292604501608
南宋,宋代,上清北極天心正法,南宋,上清北極天心正法 (南宋),滿,1,9952,1.004823151125402,1,1.004823151125402
南宋,宋代,上清北極天心正法,南宋,上清北極天心正法 (南宋),瞞,0,9952,0.0,1,0.0
南宋,宋代,上清北極天心正法,南宋,上清北極天心正法 (南宋),輩,0,9952,0.0,1,0.0
南宋,宋代,上清北極天心正法,南宋,上清北極天心正法 (南宋),門,3,9952,3.014469453376206,1,3.014469453376206
南宋,宋代,丹經極論,南宋,丹經極論 (南宋),們,0,3190,0.0,1,0.0
南宋,宋代,丹經極論,南宋,丹經極論 (南宋),偉,0,3190,0.0,1,0.0
南宋,宋代,丹經極論,南宋,丹經極論 (南宋),弭,0,3190,0.0,1,0.0
南宋,宋代,丹經極論,南宋,丹經極論 (南宋),彌,0,3190,0.0,1,0.0
南宋,宋代,丹經極論,南宋,丹經極論 (南宋),懣,0,3190,0.0,1,0.0
南宋,宋代,丹經極論,南宋,丹經極論 (南宋),每,0,3190,0.0,1,0.0
南宋,宋代,丹經極論,南宋,丹經極論 (南宋),滿,0,3190,0.0,1,0.0
南宋,宋代,丹經極論,南宋,丹經極論 (南宋),瞞,0,3190,0.0,1,0.0
南宋,宋代,丹經極論,南宋,丹經極論 (南宋),輩,0,3190,0.0,1,0.0
南宋,宋代,丹經極論,南宋,丹經極論 (南宋),門,0,3190,0.0,1,0.0
南宋,宋代,修煉大丹要旨,南宋,修煉大丹要旨 (南宋),們,0,10959,0.0,3,0.0
南宋,宋代,修煉大丹要旨,南宋,修煉大丹要旨 (南宋),偉,0,10959,0.0,3,0.0
南宋,宋代,修煉大丹要旨,南宋,修煉大丹要旨 (南宋),弭,0,10959,0.0,3,0.0
南宋,宋代,修煉大丹要旨,南宋,修煉大丹要旨 (南宋),彌,0,10959,0.0,3,0.0
南宋,宋代,修煉大丹要旨,南宋,修煉大丹要旨 (南宋),懣,0,10959,0.0,3,0.0
南宋,宋代,修煉大丹要旨,南宋,修煉大丹要旨 (南宋),每,9,10959,4.492440069607978,3,8.212428141253763
南宋,宋代,修煉大丹要旨,南宋,修煉大丹要旨 (南宋),滿,0,10959,0.0,3,0.0
南宋,宋代,修煉大丹要旨,南宋,修煉大丹要旨 (南宋),瞞,0,10959,0.0,3,0.0
南宋,宋代,修煉大丹要旨,南宋,修煉大丹要旨 (南宋),輩,0,10959,0.0,3,0.0
南宋,宋代,修煉大丹要旨,南宋,修煉大丹要旨 (南宋),門,1,10959,0.4354452427607229,3,0.9124920156948626
南宋,宋代,周易參同契註,儲華谷,周易參同契註 (儲華谷),們,0,12168,0.0,4,0.0
南宋,宋代,周易參同契註,儲華谷,周易參同契註 (儲華谷),偉,0,12168,0.0,4,0.0
南宋,宋代,周易參同契註,儲華谷,周易參同契註 (儲華谷),弭,0,12168,0.0,4,0.0
南宋,宋代,周易參同契註,儲華谷,周易參同契註 (儲華谷),彌,0,12168,0.0,4,0.0
南宋,宋代,周易參同契註,儲華谷,周易參同契註 (儲華谷),懣,0,12168,0.0,4,0.0
南宋,宋代,周易參同契註,儲華谷,周易參同契註 (儲華谷),每,0,12168,0.0,4,0.0
南宋,宋代,周易參同契註,儲華谷,周易參同契註 (儲華谷),滿,2,12168,1.094669332945864,4,1.643655489809336
南宋,宋代,周易參同契註,儲華谷,周易參同契註 (儲華谷),瞞,0,12168,0.0,4,0.0
南宋,宋代,周易參同契註,儲華谷,周易參同契註 (儲華谷),輩,0,12168,0.0,4,0.0
南宋,宋代,周易參同契註,儲華谷,周易參同契註 (儲華谷),門,4,12168,2.744289920210793,4,3.287310979618672
南宋,宋代,周易圖,南宋,周易圖 (南宋),們,0,16754,0.0,4,0.0
南宋,宋代,周易圖,南宋,周易圖 (南宋),偉,0,16754,0.0,4,0.0
南宋,宋代,周易圖,南宋,周易圖 (南宋),弭,0,16754,0.0,4,0.0
南宋,宋代,周易圖,南宋,周易圖 (南宋),彌,0,16754,0.0,4,0.0
南宋,宋代,周易圖,南宋,周易圖 (南宋),懣,0,16754,0.0,4,0.0
南宋,宋代,周易圖,南宋,周易圖 (南宋),每,0,16754,0.0,4,0.0
南宋,宋代,周易圖,南宋,周易圖 (南宋),滿,1,16754,0.5714285714285714,4,0.5968723886832995
南宋,宋代,周易圖,南宋,周易圖 (南宋),瞞,0,16754,0.0,4,0.0
南宋,宋代,周易圖,南宋,周易圖 (南宋),輩,0,16754,0.0,4,0.0
南宋,宋代,周易圖,南宋,周易圖 (南宋),門,0,16754,0.0,4,0.0
南宋,宋代,太上三元賜福赦罪解厄消災延生保命妙經,南宋,太上三元賜福赦罪解厄消災延生保命妙經 (南宋),們,0,2699,0.0,1,0.0
