dynasty,period,book_name,author,full_book_info,variant,count,total_chars,frequency_per_10k,file_count,recalc_freq_per_10k
唐,唐代,上方大洞真元妙經品,明皇,上方大洞真元妙經品 (明皇),們,0,1903,0.0,1,0.0
唐,唐代,上方大洞真元妙經品,明皇,上方大洞真元妙經品 (明皇),偉,0,1903,0.0,1,0.0
唐,唐代,上方大洞真元妙經品,明皇,上方大洞真元妙經品 (明皇),弭,0,1903,0.0,1,0.0
唐,唐代,上方大洞真元妙經品,明皇,上方大洞真元妙經品 (明皇),彌,0,1903,0.0,1,0.0
唐,唐代,上方大洞真元妙經品,明皇,上方大洞真元妙經品 (明皇),懣,0,1903,0.0,1,0.0
唐,唐代,上方大洞真元妙經品,明皇,上方大洞真元妙經品 (明皇),每,0,1903,0.0,1,0.0
唐,唐代,上方大洞真元妙經品,明皇,上方大洞真元妙經品 (明皇),滿,0,1903,0.0,1,0.0
唐,唐代,上方大洞真元妙經品,明皇,上方大洞真元妙經品 (明皇),瞞,0,1903,0.0,1,0.0
唐,唐代,上方大洞真元妙經品,明皇,上方大洞真元妙經品 (明皇),輩,0,1903,0.0,1,0.0
唐,唐代,上方大洞真元妙經品,明皇,上方大洞真元妙經品 (明皇),門,1,1903,5.254860746190226,1,5.254860746190226
唐,唐代,上清三真旨要玉訣,唐,上清三真旨要玉訣 (唐),們,0,6004,0.0,1,0.0
唐,唐代,上清三真旨要玉訣,唐,上清三真旨要玉訣 (唐),偉,0,6004,0.0,1,0.0
唐,唐代,上清三真旨要玉訣,唐,上清三真旨要玉訣 (唐),弭,0,6004,0.0,1,0.0
唐,唐代,上清三真旨要玉訣,唐,上清三真旨要玉訣 (唐),彌,0,6004,0.0,1,0.0
唐,唐代,上清三真旨要玉訣,唐,上清三真旨要玉訣 (唐),懣,0,6004,0.0,1,0.0
唐,唐代,上清三真旨要玉訣,唐,上清三真旨要玉訣 (唐),每,2,6004,3.331112591605596,1,3.331112591605596
唐,唐代,上清三真旨要玉訣,唐,上清三真旨要玉訣 (唐),滿,0,6004,0.0,1,0.0
唐,唐代,上清三真旨要玉訣,唐,上清三真旨要玉訣 (唐),瞞,0,6004,0.0,1,0.0
唐,唐代,上清三真旨要玉訣,唐,上清三真旨要玉訣 (唐),輩,0,6004,0.0,1,0.0
唐,唐代,上清三真旨要玉訣,唐,上清三真旨要玉訣 (唐),門,2,6004,3.331112591605596,1,3.331112591605596
唐,唐代,上清修行經訣,唐,上清修行經訣 (唐),們,0,8410,0.0,1,0.0
唐,唐代,上清修行經訣,唐,上清修行經訣 (唐),偉,0,8410,0.0,1,0.0
唐,唐代,上清修行經訣,唐,上清修行經訣 (唐),弭,0,8410,0.0,1,0.0
唐,唐代,上清修行經訣,唐,上清修行經訣 (唐),彌,1,8410,1.1890606420927468,1,1.1890606420927468
唐,唐代,上清修行經訣,唐,上清修行經訣 (唐),懣,0,8410,0.0,1,0.0
唐,唐代,上清修行經訣,唐,上清修行經訣 (唐),每,0,8410,0.0,1,0.0
唐,唐代,上清修行經訣,唐,上清修行經訣 (唐),滿,0,8410,0.0,1,0.0
唐,唐代,上清修行經訣,唐,上清修行經訣 (唐),瞞,0,8410,0.0,1,0.0
唐,唐代,上清修行經訣,唐,上清修行經訣 (唐),輩,0,8410,0.0,1,0.0
唐,唐代,上清修行經訣,唐,上清修行經訣 (唐),門,2,8410,2.3781212841854935,1,2.3781212841854935
唐,唐代,上清修身要事經,唐,上清修身要事經 (唐),們,0,8443,0.0,1,0.0
唐,唐代,上清修身要事經,唐,上清修身要事經 (唐),偉,0,8443,0.0,1,0.0
唐,唐代,上清修身要事經,唐,上清修身要事經 (唐),弭,0,8443,0.0,1,0.0
唐,唐代,上清修身要事經,唐,上清修身要事經 (唐),彌,1,8443,1.1844131232974062,1,1.1844131232974062
唐,唐代,上清修身要事經,唐,上清修身要事經 (唐),懣,0,8443,0.0,1,0.0
唐,唐代,上清修身要事經,唐,上清修身要事經 (唐),每,0,8443,0.0,1,0.0
唐,唐代,上清修身要事經,唐,上清修身要事經 (唐),滿,0,8443,0.0,1,0.0
唐,唐代,上清修身要事經,唐,上清修身要事經 (唐),瞞,0,8443,0.0,1,0.0
唐,唐代,上清修身要事經,唐,上清修身要事經 (唐),輩,0,8443,0.0,1,0.0
唐,唐代,上清修身要事經,唐,上清修身要事經 (唐),門,2,8443,2.3688262465948124,1,2.3688262465948124
唐,唐代,上清元始高上玉皇九天譜籙,唐,上清元始高上玉皇九天譜籙 (唐),們,0,1969,0.0,1,0.0
唐,唐代,上清元始高上玉皇九天譜籙,唐,上清元始高上玉皇九天譜籙 (唐),偉,0,1969,0.0,1,0.0
唐,唐代,上清元始高上玉皇九天譜籙,唐,上清元始高上玉皇九天譜籙 (唐),弭,0,1969,0.0,1,0.0
唐,唐代,上清元始高上玉皇九天譜籙,唐,上清元始高上玉皇九天譜籙 (唐),彌,0,1969,0.0,1,0.0
唐,唐代,上清元始高上玉皇九天譜籙,唐,上清元始高上玉皇九天譜籙 (唐),懣,0,1969,0.0,1,0.0
唐,唐代,上清元始高上玉皇九天譜籙,唐,上清元始高上玉皇九天譜籙 (唐),每,0,1969,0.0,1,0.0
唐,唐代,上清元始高上玉皇九天譜籙,唐,上清元始高上玉皇九天譜籙 (唐),滿,0,1969,0.0,1,0.0
唐,唐代,上清元始高上玉皇九天譜籙,唐,上清元始高上玉皇九天譜籙 (唐),瞞,0,1969,0.0,1,0.0
唐,唐代,上清元始高上玉皇九天譜籙,唐,上清元始高上玉皇九天譜籙 (唐),輩,0,1969,0.0,1,0.0
唐,唐代,上清元始高上玉皇九天譜籙,唐,上清元始高上玉皇九天譜籙 (唐),門,0,1969,0.0,1,0.0
唐,唐代,上清八道祕言圖,唐,上清八道祕言圖 (唐),們,0,1498,0.0,1,0.0
唐,唐代,上清八道祕言圖,唐,上清八道祕言圖 (唐),偉,0,1498,0.0,1,0.0
唐,唐代,上清八道祕言圖,唐,上清八道祕言圖 (唐),弭,0,1498,0.0,1,0.0
唐,唐代,上清八道祕言圖,唐,上清八道祕言圖 (唐),彌,0,1498,0.0,1,0.0
唐,唐代,上清八道祕言圖,唐,上清八道祕言圖 (唐),懣,0,1498,0.0,1,0.0
唐,唐代,上清八道祕言圖,唐,上清八道祕言圖 (唐),每,0,1498,0.0,1,0.0
唐,唐代,上清八道祕言圖,唐,上清八道祕言圖 (唐),滿,0,1498,0.0,1,0.0
唐,唐代,上清八道祕言圖,唐,上清八道祕言圖 (唐),瞞,0,1498,0.0,1,0.0
唐,唐代,上清八道祕言圖,唐,上清八道祕言圖 (唐),輩,0,1498,0.0,1,0.0
唐,唐代,上清八道祕言圖,唐,上清八道祕言圖 (唐),門,0,1498,0.0,1,0.0
唐,唐代,上清化形隱景登昇保仙上經,唐,上清化形隱景登昇保仙上經 (唐),們,0,1387,0.0,1,0.0
唐,唐代,上清化形隱景登昇保仙上經,唐,上清化形隱景登昇保仙上經 (唐),偉,0,1387,0.0,1,0.0
唐,唐代,上清化形隱景登昇保仙上經,唐,上清化形隱景登昇保仙上經 (唐),弭,0,1387,0.0,1,0.0
唐,唐代,上清化形隱景登昇保仙上經,唐,上清化形隱景登昇保仙上經 (唐),彌,0,1387,0.0,1,0.0
唐,唐代,上清化形隱景登昇保仙上經,唐,上清化形隱景登昇保仙上經 (唐),懣,0,1387,0.0,1,0.0
唐,唐代,上清化形隱景登昇保仙上經,唐,上清化形隱景登昇保仙上經 (唐),每,0,1387,0.0,1,0.0
唐,唐代,上清化形隱景登昇保仙上經,唐,上清化形隱景登昇保仙上經 (唐),滿,0,1387,0.0,1,0.0
唐,唐代,上清化形隱景登昇保仙上經,唐,上清化形隱景登昇保仙上經 (唐),瞞,0,1387,0.0,1,0.0
唐,唐代,上清化形隱景登昇保仙上經,唐,上清化形隱景登昇保仙上經 (唐),輩,0,1387,0.0,1,0.0
唐,唐代,上清化形隱景登昇保仙上經,唐,上清化形隱景登昇保仙上經 (唐),門,0,1387,0.0,1,0.0
唐,唐代,上清司命茅真君修行指迷訣,唐,上清司命茅真君修行指迷訣 (唐),們,0,1766,0.0,1,0.0
唐,唐代,上清司命茅真君修行指迷訣,唐,上清司命茅真君修行指迷訣 (唐),偉,0,1766,0.0,1,0.0
唐,唐代,上清司命茅真君修行指迷訣,唐,上清司命茅真君修行指迷訣 (唐),弭,0,1766,0.0,1,0.0
唐,唐代,上清司命茅真君修行指迷訣,唐,上清司命茅真君修行指迷訣 (唐),彌,0,1766,0.0,1,0.0
唐,唐代,上清司命茅真君修行指迷訣,唐,上清司命茅真君修行指迷訣 (唐),懣,0,1766,0.0,1,0.0
唐,唐代,上清司命茅真君修行指迷訣,唐,上清司命茅真君修行指迷訣 (唐),每,0,1766,0.0,1,0.0
唐,唐代,上清司命茅真君修行指迷訣,唐,上清司命茅真君修行指迷訣 (唐),滿,0,1766,0.0,1,0.0
唐,唐代,上清司命茅真君修行指迷訣,唐,上清司命茅真君修行指迷訣 (唐),瞞,0,1766,0.0,1,0.0
唐,唐代,上清司命茅真君修行指迷訣,唐,上清司命茅真君修行指迷訣 (唐),輩,0,1766,0.0,1,0.0
唐,唐代,上清司命茅真君修行指迷訣,唐,上清司命茅真君修行指迷訣 (唐),門,0,1766,0.0,1,0.0
