dynasty,period,book_name,author,full_book_info,variant,count,total_chars,frequency_per_10k,file_count,recalc_freq_per_10k
唐初期,唐代,上清金真玉皇上元九天真靈三百六十五部元錄,金明七真,上清金真玉皇上元九天真靈三百六十五部元錄 (金明七真),們,0,6753,0.0,1,0.0
唐初期,唐代,上清金真玉皇上元九天真靈三百六十五部元錄,金明七真,上清金真玉皇上元九天真靈三百六十五部元錄 (金明七真),偉,0,6753,0.0,1,0.0
唐初期,唐代,上清金真玉皇上元九天真靈三百六十五部元錄,金明七真,上清金真玉皇上元九天真靈三百六十五部元錄 (金明七真),弭,0,6753,0.0,1,0.0
唐初期,唐代,上清金真玉皇上元九天真靈三百六十五部元錄,金明七真,上清金真玉皇上元九天真靈三百六十五部元錄 (金明七真),彌,0,6753,0.0,1,0.0
唐初期,唐代,上清金真玉皇上元九天真靈三百六十五部元錄,金明七真,上清金真玉皇上元九天真靈三百六十五部元錄 (金明七真),懣,0,6753,0.0,1,0.0
唐初期,唐代,上清金真玉皇上元九天真靈三百六十五部元錄,金明七真,上清金真玉皇上元九天真靈三百六十五部元錄 (金明七真),每,0,6753,0.0,1,0.0
唐初期,唐代,上清金真玉皇上元九天真靈三百六十五部元錄,金明七真,上清金真玉皇上元九天真靈三百六十五部元錄 (金明七真),滿,0,6753,0.0,1,0.0
唐初期,唐代,上清金真玉皇上元九天真靈三百六十五部元錄,金明七真,上清金真玉皇上元九天真靈三百六十五部元錄 (金明七真),瞞,0,6753,0.0,1,0.0
唐初期,唐代,上清金真玉皇上元九天真靈三百六十五部元錄,金明七真,上清金真玉皇上元九天真靈三百六十五部元錄 (金明七真),輩,0,6753,0.0,1,0.0
唐初期,唐代,上清金真玉皇上元九天真靈三百六十五部元錄,金明七真,上清金真玉皇上元九天真靈三百六十五部元錄 (金明七真),門,3,6753,4.4424700133274095,1,4.4424700133274095
唐初期,唐代,洞玄靈寶三洞奉道科戒營始,金明七真,洞玄靈寶三洞奉道科戒營始 (金明七真),們,0,20848,0.0,7,0.0
唐初期,唐代,洞玄靈寶三洞奉道科戒營始,金明七真,洞玄靈寶三洞奉道科戒營始 (金明七真),偉,0,20848,0.0,7,0.0
唐初期,唐代,洞玄靈寶三洞奉道科戒營始,金明七真,洞玄靈寶三洞奉道科戒營始 (金明七真),弭,0,20848,0.0,7,0.0
唐初期,唐代,洞玄靈寶三洞奉道科戒營始,金明七真,洞玄靈寶三洞奉道科戒營始 (金明七真),彌,1,20848,0.31062653371851023,7,0.47966231772831924
唐初期,唐代,洞玄靈寶三洞奉道科戒營始,金明七真,洞玄靈寶三洞奉道科戒營始 (金明七真),懣,0,20848,0.0,7,0.0
唐初期,唐代,洞玄靈寶三洞奉道科戒營始,金明七真,洞玄靈寶三洞奉道科戒營始 (金明七真),每,3,20848,0.9318796011555307,7,1.4389869531849577
唐初期,唐代,洞玄靈寶三洞奉道科戒營始,金明七真,洞玄靈寶三洞奉道科戒營始 (金明七真),滿,3,20848,1.1515623129140502,7,1.4389869531849577
唐初期,唐代,洞玄靈寶三洞奉道科戒營始,金明七真,洞玄靈寶三洞奉道科戒營始 (金明七真),瞞,0,20848,0.0,7,0.0
唐初期,唐代,洞玄靈寶三洞奉道科戒營始,金明七真,洞玄靈寶三洞奉道科戒營始 (金明七真),輩,3,20848,1.0114252017802987,7,1.4389869531849577
唐初期,唐代,洞玄靈寶三洞奉道科戒營始,金明七真,洞玄靈寶三洞奉道科戒營始 (金明七真),門,18,20848,6.522688214413533,7,8.633921719109747
唐初期,唐代,無上三元鎮宅靈籙,金明七真,無上三元鎮宅靈籙 (金明七真),們,0,6229,0.0,1,0.0
唐初期,唐代,無上三元鎮宅靈籙,金明七真,無上三元鎮宅靈籙 (金明七真),偉,0,6229,0.0,1,0.0
唐初期,唐代,無上三元鎮宅靈籙,金明七真,無上三元鎮宅靈籙 (金明七真),弭,0,6229,0.0,1,0.0
唐初期,唐代,無上三元鎮宅靈籙,金明七真,無上三元鎮宅靈籙 (金明七真),彌,0,6229,0.0,1,0.0
唐初期,唐代,無上三元鎮宅靈籙,金明七真,無上三元鎮宅靈籙 (金明七真),懣,0,6229,0.0,1,0.0
唐初期,唐代,無上三元鎮宅靈籙,金明七真,無上三元鎮宅靈籙 (金明七真),每,0,6229,0.0,1,0.0
唐初期,唐代,無上三元鎮宅靈籙,金明七真,無上三元鎮宅靈籙 (金明七真),滿,1,6229,1.6053941242575052,1,1.6053941242575052
唐初期,唐代,無上三元鎮宅靈籙,金明七真,無上三元鎮宅靈籙 (金明七真),瞞,0,6229,0.0,1,0.0
唐初期,唐代,無上三元鎮宅靈籙,金明七真,無上三元鎮宅靈籙 (金明七真),輩,0,6229,0.0,1,0.0
唐初期,唐代,無上三元鎮宅靈籙,金明七真,無上三元鎮宅靈籙 (金明七真),門,13,6229,20.870123615347566,1,20.870123615347566
