dynasty,period,book_name,author,full_book_info,variant,count,total_chars,frequency_per_10k,file_count,recalc_freq_per_10k
宋,宋代,,曹洞五位顯訣, (曹洞五位顯訣),們,0,27606,0.0,3,0.0
宋,宋代,,曹洞五位顯訣, (曹洞五位顯訣),偉,0,27606,0.0,3,0.0
宋,宋代,,曹洞五位顯訣, (曹洞五位顯訣),弭,0,27606,0.0,3,0.0
宋,宋代,,曹洞五位顯訣, (曹洞五位顯訣),彌,0,27606,0.0,3,0.0
宋,宋代,,曹洞五位顯訣, (曹洞五位顯訣),懣,0,27606,0.0,3,0.0
宋,宋代,,曹洞五位顯訣, (曹洞五位顯訣),每,2,27606,0.6696096287102153,3,0.7244801854669275
宋,宋代,,曹洞五位顯訣, (曹洞五位顯訣),滿,1,27606,0.34332406358361656,3,0.36224009273346375
宋,宋代,,曹洞五位顯訣, (曹洞五位顯訣),瞞,0,27606,0.0,3,0.0
宋,宋代,,曹洞五位顯訣, (曹洞五位顯訣),輩,3,27606,1.012933692293832,3,1.0867202782003913
宋,宋代,,曹洞五位顯訣, (曹洞五位顯訣),門,19,27606,7.5257312060224635,3,6.882561761935811
宋,宋代,,禪苑清規, (禪苑清規),們,0,52592,0.0,10,0.0
宋,宋代,,禪苑清規, (禪苑清規),偉,0,52592,0.0,10,0.0
宋,宋代,,禪苑清規, (禪苑清規),弭,0,52592,0.0,10,0.0
宋,宋代,,禪苑清規, (禪苑清規),彌,7,52592,1.2524950331478508,10,1.3310009126863402
宋,宋代,,禪苑清規, (禪苑清規),懣,0,52592,0.0,10,0.0
宋,宋代,,禪苑清規, (禪苑清規),每,4,52592,0.643467578604073,10,0.76057195010648
宋,宋代,,禪苑清規, (禪苑清規),滿,1,52592,0.13250298131707963,10,0.19014298752662
宋,宋代,,禪苑清規, (禪苑清規),瞞,0,52592,0.0,10,0.0
宋,宋代,,禪苑清規, (禪苑清規),輩,3,52592,0.44496602389458284,10,0.5704289625798601
宋,宋代,,禪苑清規, (禪苑清規),門,17,52592,2.984843558151925,10,3.2324307879525405
宋,宋代,䂬溪詩話,宋,䂬溪詩話 (宋),們,0,22521,0.0,10,0.0
宋,宋代,䂬溪詩話,宋,䂬溪詩話 (宋),偉,0,22521,0.0,10,0.0
宋,宋代,䂬溪詩話,宋,䂬溪詩話 (宋),弭,0,22521,0.0,10,0.0
宋,宋代,䂬溪詩話,宋,䂬溪詩話 (宋),彌,0,22521,0.0,10,0.0
宋,宋代,䂬溪詩話,宋,䂬溪詩話 (宋),懣,0,22521,0.0,10,0.0
宋,宋代,䂬溪詩話,宋,䂬溪詩話 (宋),每,2,22521,0.6811888558401596,10,0.8880600328582212
宋,宋代,䂬溪詩話,宋,䂬溪詩話 (宋),滿,4,22521,1.759820257458849,10,1.7761200657164424
宋,宋代,䂬溪詩話,宋,䂬溪詩話 (宋),瞞,0,22521,0.0,10,0.0
宋,宋代,䂬溪詩話,宋,䂬溪詩話 (宋),輩,13,22521,5.039970432127929,10,5.772390213578438
宋,宋代,䂬溪詩話,宋,䂬溪詩話 (宋),門,6,22521,2.608332348237093,10,2.664180098574664
宋,宋代,一切如來大祕密王未曾有最上微妙大曼拏羅經,天息災,一切如來大祕密王未曾有最上微妙大曼拏羅經 (天息災),們,0,26923,0.0,5,0.0
宋,宋代,一切如來大祕密王未曾有最上微妙大曼拏羅經,天息災,一切如來大祕密王未曾有最上微妙大曼拏羅經 (天息災),偉,0,26923,0.0,5,0.0
宋,宋代,一切如來大祕密王未曾有最上微妙大曼拏羅經,天息災,一切如來大祕密王未曾有最上微妙大曼拏羅經 (天息災),弭,0,26923,0.0,5,0.0
宋,宋代,一切如來大祕密王未曾有最上微妙大曼拏羅經,天息災,一切如來大祕密王未曾有最上微妙大曼拏羅經 (天息災),彌,1,26923,0.2822466836014677,5,0.3714296326560933
