dynasty,period,book_name,author,full_book_info,variant,count,total_chars,frequency_per_10k,file_count,recalc_freq_per_10k
明,明代,一切智光明仙人慈心因緣不食肉經,失譯,一切智光明仙人慈心因緣不食肉經 (失譯),們,0,2345,0.0,1,0.0
明,明代,一切智光明仙人慈心因緣不食肉經,失譯,一切智光明仙人慈心因緣不食肉經 (失譯),偉,0,2345,0.0,1,0.0
明,明代,一切智光明仙人慈心因緣不食肉經,失譯,一切智光明仙人慈心因緣不食肉經 (失譯),弭,0,2345,0.0,1,0.0
明,明代,一切智光明仙人慈心因緣不食肉經,失譯,一切智光明仙人慈心因緣不食肉經 (失譯),彌,1,2345,4.264392324093817,1,4.264392324093817
明,明代,一切智光明仙人慈心因緣不食肉經,失譯,一切智光明仙人慈心因緣不食肉經 (失譯),懣,0,2345,0.0,1,0.0
明,明代,一切智光明仙人慈心因緣不食肉經,失譯,一切智光明仙人慈心因緣不食肉經 (失譯),每,0,2345,0.0,1,0.0
明,明代,一切智光明仙人慈心因緣不食肉經,失譯,一切智光明仙人慈心因緣不食肉經 (失譯),滿,1,2345,4.264392324093817,1,4.264392324093817
明,明代,一切智光明仙人慈心因緣不食肉經,失譯,一切智光明仙人慈心因緣不食肉經 (失譯),瞞,0,2345,0.0,1,0.0
明,明代,一切智光明仙人慈心因緣不食肉經,失譯,一切智光明仙人慈心因緣不食肉經 (失譯),輩,0,2345,0.0,1,0.0
明,明代,一切智光明仙人慈心因緣不食肉經,失譯,一切智光明仙人慈心因緣不食肉經 (失譯),門,0,2345,0.0,1,0.0
明,明代,一峯文集,明,一峯文集 (明),們,0,92302,0.0,15,0.0
明,明代,一峯文集,明,一峯文集 (明),偉,4,92302,0.2991477783555859,15,0.43336005720352755
明,明代,一峯文集,明,一峯文集 (明),弭,0,92302,0.0,15,0.0
明,明代,一峯文集,明,一峯文集 (明),彌,2,92302,0.18447474342110196,15,0.21668002860176377
明,明代,一峯文集,明,一峯文集 (明),懣,0,92302,0.0,15,0.0
明,明代,一峯文集,明,一峯文集 (明),每,0,92302,0.0,15,0.0
