dynasty,period,total_characters,total_variants,unique_variant_types,files_analyzed,variant_們_count,variant_弭_count,variant_彌_count,variant_偉_count,variant_懣_count,variant_滿_count,variant_瞞_count,variant_門_count,variant_每_count,variant_輩_count
元魏,唐代,1975111,1543,10,222,0,0,193,3,0,184,2,1055,21,85
劉宋,唐代,2194726,1414,10,238,0,0,206,11,0,151,0,851,84,111
南唐,唐代,7569,5,10,1,0,0,0,0,0,0,0,5,0,0
唐初期,唐代,33830,45,10,9,0,0,1,0,0,4,0,34,3,3
唐,唐代,5508531,5069,10,760,0,36,173,18,1,337,2,3742,532,228
北宋,宋代,163242,102,10,40,0,0,6,0,0,28,0,52,8,8
北宋後期,宋代,6548,4,10,1,0,0,0,0,0,3,0,0,1,0
南宋,宋代,272521,154,10,43,0,1,15,2,0,20,2,82,20,12
宋,宋代,225974463,172943,10,32155,148,1575,8357,4562,400,17112,495,86533,35112,18649
元初期,元代,87156,50,10,26,0,0,2,0,0,7,0,34,2,5
元,元代,56507290,41055,10,6533,141,428,1982,1279,61,4581,100,20342,8478,3663
明初期,明代,29946,21,10,5,0,0,0,0,0,4,0,16,1,0
明,明代,184092885,157397,10,17795,694,1283,6176,4225,225,16771,585,64385,47942,15111
清,明代,290586699,222277,10,27844,1114,1537,9121,4956,238,33129,1191,101501,49681,19809
