variant,context_id,context_text,position,source_file,preceding_char,following_char
門,1,亦以佔天名家暉既沒其門人同裏章濬深懼泯滅無,618,,無,
門,2,二極為天體之管轄其猶門之樞車之軸歟試以圎瓜,186,,瓜,
門,3,而儒者之兼通終不及専門之本業故二本所載亦互,327,,互,
門,4,在天體之內天之兩極如門樞輪輻天旋一晝夜而周,69,,周,
門,5,妄議姑述其梗槩如此雲門人李敏拜手謹書一山文,831,,文,
門,6,源海若収百川之水罷千門之筦絃嘆五方之商旅乃,274,,乃,
門,7,川晻藹乾坤晦蒙雷震天門之皷水湧馮夷之宮及是,501,,是,
門,8,無垠氣化廻薄兮出乎無門使天雨玉兮曷若野橋流,1019,,流,
門,9,駒不肯戀棧豆裹糧出都門歸期迫夏首春容耀桃李,1494,,李,
門,10,成古今野哭雜山溜莫傷門祚衰晚節當大就立言紹,1562,,紹,
門,11,載經舸我昔耕牧峴山陽門前水田足粇糯十年道阻,2728,,阻,
門,12,拄杖&KR1201;門往來熟欲歸料理不可得,2957,,得,
門,13,峴山陽閒從野人學種樹門前漁浦啼竹禽屋上鶴巢,3147,,巢,
門,14,如山空外青山橫一縷出門顧影與誰儔市上泥深過,3357,,過,
門,15,先生夙華川山中好隱居門前十栁青扶疎種來不記,3513,,記,
門,16,來赤墀下皎如飛龍下天門山齋看畫白晝靜丹粉如,4963,,如,
門,17,膽傾徃時辭家上䇿登轅門竒氣萬丈橫秋㝠六韜三,5277,,三,
門,18,希文新來小篆亦傑出夷門梁君子宜苦學張顛之草,6480,,草,
門,19,宵紡績水寒績斷心緒勞門掩淒風抱兒泣風吹兒聲,6685,,聲,
門,20,丹桂滿林吹古香異哉一門兩共姜至今大江之南奕,6745,,奕,
門,21,迺在瀛洲之上方壺之間門前雙鶴不知幾歳月雪飛,6859,,飛,
門,22,飛近天上神仙之官府天門寥濶不可通誰到十二瓊,7207,,瓊,
門,23,嘒嘒老樹秋風暑初退閨門忽起思婦悲欹枕聽之墮,7301,,墮,
門,24,少住鮮飈入閣開煩襟出門復憩秋水寺四顧徊徨雨,7711,,雨,
門,25,色動髙城鐘殘櫪馬鳴千門春放暖十日雪開晴勲業,168,,業,
門,26,㳺長春宮飛觀連霄漢山門一徑幽青林藏雨暗白水,207,,水,
門,27,見畫粉墨亂塵埃早過五門霜白掖樓晚寒鴉城上啼,287,,啼,
門,28,雨霑花潤春風歩屧輕石門雲氣白野寺竹隂清魚鳥,1013,,鳥,
門,29,草浮煙階前村嫗舂黃米門外溪童賣白鮮欲賦紫芝,2083,,芝,
門,30,殊方為客苦病來親友到門稀何縁得佀兒童嵗貂㡌,2145,,㡌,
門,31,嵗貂㡌狐裘學打圍又開門飛雪疊階除宛宛溪山畫,2163,,畫,
門,32,寒山入暮煙河流直到寺門前店頭買酒風吹幔浦口,2232,,口,
門,33,深春滿故園芳草緑東風門外聽車音又離筵酒盡暮,2392,,暮,
門,34,乏千金醉酒樓欲向金川門裡住那堪囘首戀滄洲贈,2622,,贈,
門,35,忽喧簷階前雪洗苔痕出門外春催柳色添姓字已歸,2778,,歸,
門,36,青熒入夜深回首髙歌出門去天涯寥落少知音暮春,2861,,春,
門,37,風雨江湖萬裏心客散衡門更清絶明朝誰聽紫瓊琴,3345,,琴,
門,38,峯廻徑轉雪嶔崟隱者柴門費獨尋谷口斷雲遮草屋,3544,,屋,
門,39,臈盡梅華信轉慳清曉天門佔瑞象日車飛上五雲端,3761,,端,
門,40,第一㶚橋人去更無雙到門疑是洛陽令有客尋詩驚,3816,,驚,
門,41,逺火燒雲正打圍明日出門好晴景氷花滿帽散珠璣,3932,,璣,
門,42,粟生空階頃刻一尺平開門起視天地白埽榻坐愛琴,4016,,琴,
門,43,笛起雲生虛室夜鍾遲廟門雨黒愁山鬼階草霜黃集,4343,,集,
門,44,羽騎風廻金爵撲珠簾出門三尺無人埽好為豐登取,5041,,取,
門,45,採得玉皇案側逺擕來九門傳詔啣雞舌百和薰衣笑,5145,,笑,
門,46,半乾於菟盡縛血爛斑城門銕騎衝雲出塞嶺金笳奏,5375,,奏,
門,47,人知好在那堪白首臥衡門又雨送㣲涼入小軒日髙,5475,,髙,
門,48,簟琴觴靜時有髙人訪蓽門雪中退朝雪舞廻廊亂打,5532,,打,
