variant,type,character,count
們,preceding,圖,81
們,preceding,特,54
們,preceding,克,28
們,preceding,勒,17
們,preceding,嘉,11
們,following,徳,31
們,following,都,28
們,following,圖,23
們,following,呼,20
們,following,岱,12
弭,preceding,以,130
弭,preceding,消,63
弭,preceding,未,43
弭,preceding,能,35
弭,preceding,欲,33
弭,following,兵,129
弭,following,節,90
弭,following,災,76
弭,following,盜,47
弭,following,之,45
彌,preceding,阿,502
彌,preceding,須,484
彌,preceding,沙,360
彌,preceding,史,312
彌,preceding,而,212
彌,following,陀,1071
彌,following,勒,591
彌,following,逺,523
彌,following,綸,190
彌,following,縫,169
偉,preceding,雄,165
偉,preceding,竒,163
偉,preceding,之,125
偉,preceding,魁,95
偉,preceding,甚,92
偉,following,哉,178
偉,following,人,154
偉,following,之,140
偉,following,績,115
偉,following,然,79
懣,preceding,憤,52
懣,preceding,憂,18
懣,preceding,志,10
懣,preceding,煩,7
懣,preceding,),4
懣,following,不,11
懣,following,之,9
懣,following,(,7
懣,following,也,7
懣,following,然,5
滿,preceding,不,1104
滿,preceding,秩,499
滿,preceding,月,480
滿,preceding,圓,437
滿,preceding,花,337
滿,following,地,426
滿,following,眼,343
滿,following,天,329
滿,following,城,321
滿,following,三,268
瞞,preceding,曹,40
瞞,preceding,鄋,37
瞞,preceding,阿,24
瞞,preceding,難,18
瞞,preceding,。,17
瞞,following,。,53
瞞,following,人,15
瞞,following,頇,12
瞞,following,侵,9
瞞,following,由,9
門,preceding,之,2423
門,preceding,閤,1738
門,preceding,沙,1736
門,preceding,出,1610
門,preceding,東,1532
門,following,外,3302
門,following,之,2849
門,following,下,2729
門,following,人,2085
門,following,。,2007
每,preceding,。,765
每,preceding,大,412
每,preceding,末,295
每,preceding,之,292
每,preceding,者,290
每,following,服,1144
每,following,日,638
每,following,一,507
每,following,嵗,452
每,following,以,325
輩,preceding,前,432
輩,preceding,我,297
輩,preceding,此,178
輩,preceding,汝,157
輩,preceding,先,156
輩,following,。,142
輩,following,皆,117
輩,following,出,108
輩,following,不,85
輩,following,所,84
