variant,total_count,percentage_of_total,frequency_per_10k_chars,average_frequency_across_files,files_found_in,most_common_preceding,most_common_following,total_contexts
們,141,0.3434417245158933,0.02495253267321792,0.037492560590889776,6533,圖 (81),徳 (31),262
偉,1279,3.1153330897576423,0.22634247722727457,0.28448062819652,6533,雄 (165),哉 (178),3220
弭,428,1.042503958104981,0.07574243960381041,0.07242049698534478,6533,以 (130),兵 (129),1222
彌,1982,4.8276701985141885,0.3507512039597015,0.33400953831061,6533,阿 (502),陀 (1071),7834
懣,61,0.1485811715990744,0.010795067326711297,0.009334747365887025,6533,憤 (52),不 (11),141
每,8478,20.650347095359884,1.5003373900960388,1.5398603251161698,6533,。 (765),服 (1144),16396
滿,4581,11.158202411399342,0.8106918594043352,0.9170541352053002,6533,不 (1104),地 (426),19943
瞞,100,0.24357569114602362,0.017696831683133272,0.016697243976140592,6533,曹 (40),。 (53),372
輩,3663,8.922177566678846,0.6482349445531719,0.8093991836496665,6533,前 (432),。 (142),3890
門,20342,49.548167092924125,3.599889500982971,3.684187069515709,6533,之 (2423),外 (3302),70248
