variant,context_id,context_text,position,source_file,preceding_char,following_char
滿,1,雜是爲先天之氣纔至氣滿神具精足臍內不納母之,381,,之,
滿,2,烹鍊使氣周流於一身氣滿神壯結成大丹非特長生,724,,生,
滿,3,內視中宮絶慮忘思冥心滿口含津勿吐勿嚥到此便,1030,,便,
滿,4,交媾漸而陽氣向上以至滿身遍體和暖應乾卦藥物,2082,,物,
滿,5,汞漸有還童之功腦實髓滿用法制之神水自上齶而,4325,,而,
滿,6,默運心火母氣自然隨氣滿四肢不覺己身鼻息綿綿,4785,,綿,
滿,7,自上齶間清涼美味神水滿口若咽之歸黃庭號曰金,5376,,金,
滿,8,又鼻中出息同舉眞氣遍滿四肢上水下火相見於重,5430,,重,
滿,9,般運出放皮毛之際金光滿室何止長生不死是欲棄,5621,,棄,
滿,10,應時黑氣出身立純陽氣滿五臓中神升本色入天宮,580,,宮,
滿,11,旆威儀處處同內觀形像滿壺中再三熒起焚身火嘹,888,,嘹,
滿,12,觀當可分別十魔君或而滿耳笙簧觸目花芳舌有甘,1151,,甘,
滿,13,峻宇雕墻珠珍遍地金玉滿堂如見不得認是爲富魔,1247,,魔,
滿,14,八方車服顯赫使節旌幢滿門青紫靴笏盈牀如見不,1278,,不,
滿,15,吼風漸凝時結紫雲生雲滿出遮日月此時一陣似洪,432,,洪,
滿,16,陽煆鍊三百日驟雨顚風滿太空電光晃耀無窮數雷,609,,雷,
滿,17,自然寒暑不相侵功成行滿神胎就抽胎換骨返長生,1147,,生,
滿,18,集持而盈之章第九金玉滿堂莫之能守富貴而驕自,40,,自,
滿,19,亢也衍義曰日中則昃月滿則虧四時之運功成則去,434,,去,
滿,20,鈔杜天師義曰日中中月滿滿暑往即寒來春榮即秋,455,,秋,
滿,21,杜天師義曰日中中月滿滿暑往即寒來春榮即秋落,456,,落,
滿,22,子天地篇門無鬼答赤張滿稽雲至德之世不尚賢不,354,,不,
滿,23,決也)曳縰而歌商頌聲滿天地若出金石天子不得,920,,得,
滿,24,於我如浮雲衍義雲書曰滿招損鈔尚書大禹謨之文,3021,,文,
滿,25,禹曰惟德動天無遠弗屆滿招損謙受益時乃天道衍,3045,,衍,
滿,26,啇紂積而不散盈而不知滿尚書武成周武王克啇於,3938,,於,
滿,27,不可縱樂不可極志不可滿陛下貞觀之初孜孜理治,2923,,治,
滿,28,勞士馬問罪遐裔此志將滿也此其漸不克終九也昔,3032,,昔,
滿,29,而不厭衍義雲但聖人知滿必招損鈔尚書大禹謨篇,3844,,篇,
滿,30,禹曰惟德動天無遠弗屆滿招損謙受益時乃天道又,3877,,又,
滿,31,克勤於邦克儉於家不自滿假惟汝賢汝惟不矜天下,4038,,下,
滿,32,大禹謨雲克儉於家不自滿假惟汝賢又引文王以節,89,,節,
滿,33,行填填(填/填)(者滿足/之貌)其視顛顛(,1617,,(,
滿,34,收否則火漏丹敗十月既滿嬰兒受氣巳足自然如瓜,4841,,瓜,
滿,35,廬矣直須三年九載日子滿足骨格老成如人生十數,4912,,數,
滿,36,解二也二者尤須功圓行滿有代天宣化濟物利人之,5405,,之,
滿,37,後如此華池水自來待得滿口一嚥汨然有聲就下以,5914,,以,
滿,38,者生之元神者生之制持滿馭神專氣抱一神依氣住,6952,,住,
滿,39,城野戰知兇吉増得靈砂滿鼎紅問溫飬答曰杏林雲,8678,,雲,
滿,40,分上本圓成夜夜靈光長滿室蓋人人具足箇箇圓成,9474,,成,
滿,41,住則神住真積力久功行滿然後調神出殻也問超脫,9612,,脫,
門,1,復命關鴻濛竅百會穴生門太乙神爐本來面目異名,512,,名,
門,2,左手兜起外腎右手掩生門(臍/也)塞兊戶(口,1089,,口,
門,3,塞兊戶(口/也)開天門(鼻也是爲/玄牝之門,1105,,門,
門,4,門(鼻也是爲/玄牝之門)須要一刀割斷然後鼻,1115,,鼻,
門,5,樓口爲玉池兊戶鼻爲天門天柱眉間爲玉堂額爲天,3720,,天,
門,6,天庭頂爲天宮耳爲雙巿門腎氣傳肝氣肝氣傳脾氣,3740,,氣,
門,7,浴金丹悟眞篇雲刑德臨門藥相之到此金丹宜沐浴,4102,,浴,
門,8,運入崑崙須是牢關雙巿門擊動震雷霹靂鼓急收甘,4220,,甘,
門,9,頂內有箏箏金玉之音腮門內謂之天池有金液沸滾,4475,,滾,
門,10,方車服顯赫使節旌幢滿門青紫靴笏盈牀如見不得,1279,,得,
門,11,有五法海蟾子以鶴沖天門靜中以眞性如鶴沖天門,2039,,門,
門,12,門靜中以眞性如鶴沖天門出外自然身外有身西山,2049,,山,
門,13,臍中之道夜則行性根頂門之道無早無晩不飢不飽,3022,,飽,
門,14,年胎仙就自然陽神從頂門出入去來無礙此謂眞丹,3060,,丹,
門,15,臍下丹田跳躍直湊乎頂門任其自然亦無遍數只一,3131,,一,
門,16,二竅以意專之只守在頂門無思無想只靜定自覺眞,3197,,眞,
門,17,火從下袞上踴躍直至頂門欲休歇行住任便不拘久,3218,,久,
門,18,元精便上來兩呼玄化頂門開時人不識眞龍虎卻向,3274,,向,
門,19,一訣便知天地理掃蕩邪門不見蹝混沌凝神神仙道,20,,仙,
門,20,天仙道不同三千六百傍門法不能逐一細分陳大道,785,,道,
門,21,雖至於治天下可也)天門開闔能無雌乎衍義雲天,1278,,天,
門,22,開闔能無雌乎衍義雲天門者自然之門也自然生太,1289,,太,
門,23,乎衍義雲天門者自然之門也自然生太極鈔莊子庚,1294,,庚,
門,24,桑楚篇之辭(郭象註天門者萬/物之都名也謂之,1315,,之,
門,25,物之都名也謂之)(天門又云衆妙之門也成法師,1329,,師,
門,26,之)(天門又云衆妙之門也成法師雲天者自/然,1335,,然,
門,27,謂也夫天然之理造化之門徒有其)(名竟無其實,1357,,實,
門,28,但見一切萬物皆自/此門而生出故經雲衆妙之門,1378,,門,
門,29,門而生出故經雲衆妙之門也)衍義雲莊子曰有乎,1388,,乎,
門,30,下如野鹿鈔莊子天地篇門無鬼答赤張滿稽雲至德,348,,德,
門,31,不信乃埋一車轅於市東門書曰如有人能移此轅於,1573,,於,
門,32,曰如有人能移此轅於西門者即給土田宅百畝黃金,1585,,金,
門,33,元君夜半夢人被髮闚阿門曰鈔莊子外物篇文宋元,2765,,元,
門,34,君夜半而夢人被髮闚阿門(成法師疏雲宋國君謚,2786,,謚,
門,35,也謂阿房曲室)(之闚門義/中已詳)絶仁棄義,2817,,義,
門,36,格於文祖詢於四嶽闢四門明四目達四聰(註詢謀,881,,謀,
門,37,於四嶽之官開/四方之門以來天下之賢俊廣四方,918,,方,
門,38,爲難矣延頸舉踵陳後長門賦望幸之詞也跨挾於物,1608,,物,
門,39,也衍義雲九竅者精神之門也鈔莊子智北遊篇莊子,1313,,子,
門,40,生其來無跡其生無涯無門無房四達之皇皇也此言,1375,,言,
門,41,於八方之表是以出入無門戶來往無邊際故能宏達,1427,,達,
門,42,物也今衍義取爲精神之門可謂善閉無關鍵而不可,1453,,可,
門,43,/莊子友人)(亦云/門人)謂莊子曰吾有大樹,1970,,樹,
門,44,沉以爲棺槨則速腐以爲門戶則液□(津液脂槅不,2356,,不,
門,45,我乘風耶今汝居先生之門曾未浹時而懟憾再三汝,2840,,汝,
門,46,過客止衍義雲莊子載北門成問於黃帝曰帝張咸池,2108,,池,
門,47,鈔莊子天運篇之辭姓北門名成黃帝臣也欲明至樂,2136,,樂,
門,48,義曰聖人設教分權實二門上士利根了通實教中下,2782,,下,
門,49,通實教中下之士須示權門權門變通其法甚廣依經,2798,,經,
門,50,教中下之士須示權門權門變通其法甚廣依經所判,2800,,判,
門,51,法甚廣依經所判略具四門第一將欲歙之必固張之,2814,,之,
門,52,續之奇各擅一時可謂德門者矣靈運才名江左獨振,1647,,振,
門,53,已鈔史記禮書所載子夏門人之高弟也猶雲出見紛,932,,紛,
門,54,子推作龍蛇之歌書於營門)(怒而逃去公後悔追,1668,,追,
門,55,於百揆百揆時敘賔於四門穆穆納於大麓烈風雷雨,2062,,雨,
門,56,之漸損功行以爲悟道之門是數子者有終身之憂無,2649,,無,
門,57,篇之文黃帝曰精神入其門骨骸反其根我尚何存人,1364,,人,
門,58,章第五十二塞其兊閉其門終身不勤衍義雲六根各,2137,,各,
門,59,莫悅乎澤又以兊爲目爲門爲口亦以戒其閉絶禍患,2307,,患,
門,60,閉絶禍患爾夫此禍患之門用之於國則政亂行之於,2324,,於,
門,61,終身不救衍義雲五欲之門既開六塵之事得濟心神,2365,,神,
門,62,紆注海內緑渠作十六院門皆臨渠每院有四品夫人,3261,,人,
門,63,雲趙文王喜劍士劍士夾門三千餘人鈔莊子說劍篇,3759,,篇,
門,64,之/子也)喜劍劍客夾門而客三千餘人日夜相擊,3800,,擊,
門,65,衍義雲唐武后開告密之門人皆重足屏息莫敢交言,471,,言,
門,66,僖公三十三年秦師過北門義中已備不録吾言甚易,2222,,易,
門,67,何言哉衍義雲顔子爲孔門之高弟仁德之大賢而天,345,,天,
門,68,武連縣公李君羨直玄武門時太白晝見太史佔雲女,1320,,女,
門,69,文以元舅之勢必爲宰相門族彊盛或有異圖遣使賜,1460,,賜,
門,70,手勅曰與卿周旋欲全卿門戶故有此處分景文奉勅,1484,,勅,
門,71,有長星水影諸怪不一沙門道安一同懇諫堅不從遂,2935,,遂,
門,72,百法養命數千家率皆旁門小法無非曲徑㒒閱歷叅,343,,叅,
門,73,年飬命之術可謂簡易法門矣宋鹹淳己巳歳下元節,561,,節,
門,74,慕清虛留心至道萬法千門無不師訪因遊衡嶽方遇,1782,,遇,
門,75,在兩腎中間名爲玄牝之門先師玄牝歌言之詳世間,2663,,間,
門,76,手腳做成的今人流入旁門者不知虛無自然黙黙運,2960,,運,
門,77,養之如此三年九載則天門自開嬰兒自然出矣往來,4383,,來,
門,78,艱何以守之爲艱大抵旁門小法俱無報應惟金丹一,4641,,一,
門,79,鼻共三竅是神氣往來之門戶下工之際調鼻息緘舌,6669,,舌,
門,80,右曰牝問曰何謂玄牝之門答曰鼻通天氣曰玄門口,7253,,口,
門,81,之門答曰鼻通天氣曰玄門口通地氣曰牝戸口鼻乃,7262,,乃,
門,82,地氣曰牝戸口鼻乃玄牝門戸矣問曰何謂三男三女,7275,,女,
門,83,答曰鼻也乃神氣出入之門黃庭經雲神廬之中當修,8809,,修,
門,84,如橘中有佳味甘如宻沙門得之即禪定黃衣得之即,9421,,即,
門,85,也脫者脫換凡軀也皆天門出前聖有脫殼之驗六祖,9638,,祖,
門,86,級紅樓出海蟾公鶴衝天門出詩曰功成須是出神京,9667,,京,
每,1,難說是氣交合而曰交媾每一日行一交得一物狀如,1473,,如,
每,2,在子時)形如黍米之大每日得一粒僧人名爲舍利,1695,,利,
每,3,名爲舍利道士號曰玄珠每日增眞氣一丈延壽不可,1712,,可,
每,4,化金液下降如淋灰相似每日下火一兩誠恐火多火,3921,,火,
每,5,當用地天泰卦子後是也每次一粒如金粟形狀顆顆,5589,,顆,
每,6,金粟形狀顆顆還於黃庭每顆生金光一道般運出放,5604,,放,
每,7,號曰內觀起火本無時候每日有睱舉起爲念略有行,673,,行,
每,8,經萬論只此是也用法但每日天明至黃昬爲晝時自,2978,,自,
每,9,之/害於仁也君子小人每相反而已矣)知常容容,2822,,容,
每,10,絮復無表裏種噲/剝雜每自力作故生胼胝)三日,872,,日,
每,11,緑渠作十六院門皆臨渠每院有四品夫人主之窮極,3265,,極,
每,12,有虧/於正理)故天下每每大亂罪在於好智蓋聖,3634,,聖,
每,13,虧/於正理)故天下每每大亂罪在於好智蓋聖智,3635,,智,
輩,1,身意六根之塵也此諸罪輩乆墮劫難以來放縱其塵,4055,,塵,
輩,2,天聖衆汝等諦聽此諸罪輩曠劫以來縱無明性造十,2457,,十,
輩,3,身意六根之塵也此諸罪輩乆墮劫難以來放縱其塵,2512,,塵,
輩,4,緑珠被誅詣東市歎曰奴輩利吾財爾刑者曰知財致,3580,,致,
輩,5,徒下日悉留和顧正兵之輩上番多別驅使和市之物,3098,,物,
彌,1,鈔易繫辭之文(註故能彌論天地之道仰/以觀於,194,,於,
彌,2,鈔周易上繫之辭雲故能彌綸之道仰以觀於天文俯,280,,俯,
