variant,type,character,count
弭,preceding,以,1
弭,following,盜,1
彌,preceding,能,2
彌,preceding,民,1
彌,preceding,角,1
彌,following,論,1
彌,following,綸,1
彌,following,貧,1
彌,following,而,1
滿,preceding,氣,4
滿,preceding,行,3
滿,preceding,玉,2
滿,preceding,月,2
滿,preceding,屆,2
滿,following,神,3
滿,following,口,3
滿,following,招,3
滿,following,四,2
滿,following,室,2
瞞,preceding,貢,1
瞞,preceding,咀,1
瞞,following,然,1
瞞,following,昩,1
門,preceding,之,17
門,preceding,天,11
門,preceding,頂,6
門,preceding,四,3
門,preceding,北,3
門,following,者,5
門,following,出,4
門,following,無,4
門,following,也,4
門,following,戶,4
每,preceding,媾,1
每,preceding,大,1
每,preceding,珠,1
每,preceding,似,1
每,preceding,也,1
每,following,日,5
每,following,一,1
每,following,次,1
每,following,顆,1
每,following,相,1
輩,preceding,罪,3
輩,preceding,奴,1
輩,preceding,之,1
輩,following,乆,2
輩,following,曠,1
輩,following,利,1
輩,following,上,1
