variant,total_count,percentage_of_total,frequency_per_10k_chars,average_frequency_across_files,files_found_in,most_common_preceding,most_common_following,total_contexts
們,0,0.0,0.0,0.0,26,,,0
偉,0,0.0,0.0,0.0,26,,,0
弭,0,0.0,0.0,0.0,26,以 (1),盜 (1),1
彌,2,4.0,0.2294735875900684,0.20043013255660386,26,能 (2),論 (1),4
懣,0,0.0,0.0,0.0,26,,,0
每,2,4.0,0.2294735875900684,0.22654578681260856,26,媾 (1),日 (5),13
滿,7,14.000000000000002,0.8031575565652394,0.5175561359700886,26,氣 (4),神 (3),41
瞞,0,0.0,0.0,0.0,26,貢 (1),然 (1),2
輩,5,10.0,0.5736839689751709,0.4775620831676472,26,罪 (3),乆 (2),5
門,34,68.0,3.9010509890311624,2.800550427799005,26,之 (17),者 (5),86
