variant,type,character,count
弭,preceding,自,1
弭,following,豈,1
彌,preceding,須,6
彌,preceding,沙,2
彌,preceding,令,1
彌,preceding,之,1
彌,preceding,則,1
彌,following,勒,4
彌,following,。,3
彌,following,綸,2
彌,following,童,2
彌,following,滿,1
滿,preceding,功,11
滿,preceding,裝,10
滿,preceding,行,10
滿,preceding,以,7
滿,preceding,腦,6
滿,following,剉,9
滿,following,四,7
滿,following,堂,5
滿,following,功,5
滿,following,神,4
瞞,preceding,更,1
瞞,following,頇,1
門,preceding,之,21
門,preceding,天,11
門,preceding,三,9
門,preceding,生,8
門,preceding,旁,7
門,following,戶,14
門,following,。,7
門,following,下,7
門,following,而,5
門,following,不,4
每,preceding,日,3
每,preceding,火,3
每,preceding,也,3
每,preceding,之,1
每,preceding,法,1
每,following,日,4
每,following,絡,2
每,following,轉,2
每,following,月,2
每,following,時,2
輩,preceding,之,4
輩,preceding,愚,2
輩,preceding,此,1
輩,preceding,前,1
輩,following,不,2
輩,following,是,1
輩,following,奉,1
輩,following,曰,1
輩,following,悞,1
