variant,total_count,percentage_of_total,frequency_per_10k_chars,average_frequency_across_files,files_found_in,most_common_preceding,most_common_following,total_contexts
們,0,0.0,0.0,0.0,40,,,0
偉,0,0.0,0.0,0.0,40,,,0
弭,0,0.0,0.0,0.0,40,自 (1),豈 (1),1
彌,6,5.88235294117647,0.3675524681148234,0.10844156272778623,40,須 (6),勒 (4),19
懣,0,0.0,0.0,0.0,40,,,0
每,8,7.8431372549019605,0.4900699574864312,0.3923698746560979,40,日 (3),日 (4),25
滿,28,27.450980392156865,1.715244851202509,1.5906587366973857,40,功 (11),剉 (9),147
瞞,0,0.0,0.0,0.0,40,更 (1),頇 (1),1
輩,8,7.8431372549019605,0.4900699574864312,0.6716270107927801,40,之 (4),不 (2),8
門,52,50.98039215686274,3.185454723661803,2.827022404637529,40,之 (21),戶 (14),168
