variant,context_id,context_text,position,source_file,preceding_char,following_char
彌,1,息又如何頑心度日弊意彌年一向灰暗將延歲月故,5170,,故,
滿,1,還丹日數也謂言行火須滿三十日要法逐月節度運,351,,運,
滿,2,自覩鼎中靈藥數轉已足滿鼎殷紅又如血滴中有白,1606,,白,
滿,3,未免進火應其時數也須滿鑪之火得不憂茲驚失又,2472,,又,
滿,4,德居黃位黃位是九九數滿之義化物已成得土之號,3640,,號,
滿,5,澄鍊煎金秋月圓盛金花滿盈是煉丹之時候也魏真,3955,,真,
滿,6,鍊藥但取金氣圓明蟾光滿盛真人共用萬一皆同無,3995,,無,
滿,7,數與時不相應也春木未滿夏火已行夏暑炎炎卻行,4831,,行,
滿,8,姓日用而不知大藥非遙滿市黃芽而莫測凡夫不學,5998,,學,
滿,9,化也數極乃神言數之極滿也但論隂陽數滿藥方乃,6395,,乃,
滿,10,數之極滿也但論隂陽數滿藥方乃神隂極則陽潛陽,6402,,陽,
門,1,聖之功仙家貴重之事黃門侍郎蕭子雲大丹歌曰千,931,,千,
門,2,小心以時消息也暫開午門午門是下次進火之門納,2504,,納,
門,3,以時消息也暫開午門午門是下次進火之門納隂之,2506,,之,
門,4,午門午門是下次進火之門納隂之首暫且開之放火,2513,,火,
門,5,勿違師誡茅君誡文曰天門開地戶閉聖人機宻勿妄,5473,,妄,
每,1,然真鉛含五色之象道家每三百六十時一度開鼎添,675,,添,
