variant,context_id,context_text,position,source_file,preceding_char,following_char
滿,1,請炁入朱墨硯中存光芒滿硯呪曰太陽正照隂鬼當,2450,,當,
滿,2,炁來入口中開口吸引覺滿口向日吞霞四十五咽每,3806,,每,
滿,3,前以剔起罡仰首視天罡滿口取炁久歩入鬥口用之,7138,,之,
滿,4,二月是常言二至三移四滿邊三六七中同二至秋分,7645,,分,
滿,5,酉/時交從)(魁)小滿(五日辰時/交傳送),7714,,),
滿,6,真火煆鍊光透簾幃金華滿室乃真隂真陽二炁交合,1979,,合,
滿,7,桑柴灰熱水淋汁了再淋滿盛於砂鍋內卻將硃砂袋,50,,袋,
滿,8,常要看灰汁如淺隨即添滿又固口縫每一夜一次看,147,,看,
滿,9,然後銀一層硃砂一層裝滿合子用鐵線十字縛定仍,199,,仍,
滿,10,弦平如繩十五乾體就盛滿甲東方蟾蜍與兔魄日月,1088,,月,
滿,11,候之正如此或君驕佚亢滿違道或臣邪佞行不順軌,1826,,軌,
滿,12,可以無思難以愁勞神炁滿室莫之能留守之者昌失,2352,,失,
滿,13,時太乙乃召移居中洲功滿上昇膺籙受圖此章言成,2595,,成,
滿,14,母之㫖也至於月缺震而滿乾減巽而沒坤此又分至,3736,,至,
滿,15,體用兼明也否則驕佚亢滿皇極不建水旱相伐弦望,1656,,望,
滿,16,德並會天地反覆金水盛滿藥體純乾之時也九一之,4220,,之,
滿,17,變大畜六五而爲九五耳滿假自大所以失權而爲人,913,,人,
滿,18,爲六之未盈六爲五之巳滿過則爲七矣六爲極矣一,2025,,一,
滿,19,罪福之由上解天災度業滿之靈下濟幽扄分人鬼之,922,,之,
滿,20,女皈依三元齋戒三年圓滿命道轉誦此經三五十遍,1262,,遍,
滿,21,天官天官曰轉誦此經至滿千遍大作踴躍悔過愆尤,1637,,尤,
滿,22,得爲貴人而好學至經功滿德就皆得神仙飛昇金闕,4403,,闕,
滿,23,而能好學至經自身功德滿日飛昇上淸之天遊宴大,4518,,大,
滿,24,迎萬神朝禮名書上天功滿德就飛昇上淸(玉淸文,6113,,文,
滿,25,乃成故言三合成德自不滿三諸事不成繫辭曰易有,1218,,有,
滿,26,景眞炁還精復胎三年功滿受書爲三景眞人又有內,1734,,內,
滿,27,極宮又名太一宮赤黃炁滿宮有一眞人如童子狀絳,1919,,絳,
滿,28,亦曰剛風劫盡之時能洞滿虛空承天不墜按九地內,277,,內,
滿,29,二千遍一身有光三千遍滿室有光四千遍舊病新疾,6485,,疾,
滿,30,上品妙經若干卷並諧圓滿奉爲今辰(某)祝獻念,3665,,念,
滿,31,05-012a>華圓滿天尊無量不可思議功德,3909,,德,
滿,32,眞聖徳天尊又化號大圓滿月光王又曰東華慈救皇,328,,皇,
滿,33,賢聖巍巍盡讚揚。法雨滿空甘露灑，道場何處不,4818,,不,
滿,34,霏法雨，楊枝灑處，遍滿壇場。普願沾濡，使含,4963,,含,
滿,35,恩，俾令歷劫親緣，得滿十種利益。所謂得壽命,5986,,命,
滿,36,大心，了知心體廣大圓滿，包含一切；森羅萬像,6623,,像,
滿,37,一心頭面敬禮「波羅蜜滿足，淨性覺智慧，勝心,7421,,心,
滿,38,，三界四府萬靈，十方滿空賢聖，今當第一時宣,8928,,宣,
滿,39,清淨法身毗盧尊師*圓滿報身盧舍那佛*三類化,10020,,化,
滿,40,覺安，諸蚊虻等皆得飽滿，令我來世，得成作佛,2625,,佛,
滿,41,揚寶號。「佛面猶如淨滿月，亦如千日放光明。,514,,。,
滿,42,生育我等，受大苦惱。滿足十月，懷抱我身。既,1314,,既,
滿,43,十月，迅速不停；受孕滿時，支脈俱解；其中非,1412,,非,
滿,44,佛道。南無讚如來，圓滿號，天宮裏面多快樂，,4657,,，,
滿,45,集，玉輦行時釋梵宗。滿月慈容黃金相，堂堂具,4749,,具,
滿,46,韻，玉龍頂上裊龍涎。滿門俱是俊才子，堂上恭,5600,,恭,
滿,47,、三界四府萬靈、十方滿空賢聖。今當第二時中,306,,中,
滿,48,諸眾生處，香雲遍至，滿十方界，稱揚三寶，遍,500,,遍,
滿,49,稱揚三寶，遍至六道，滿眾生願。病苦眾生香雲,515,,雲,
滿,50,「敬禮金色相，面淨如滿月。敬禮智無比，離垢,633,,垢,
滿,51,淨法身毗盧遮那佛*圓滿報身盧舍那佛*三類化,818,,化,
滿,52,得大千無侶。要保金錢滿藏，好看貧女賣薪。經,2285,,經,
滿,53,如故。如是勤取，金錢滿藏。阿難白佛：此人何,2339,,何,
滿,54,不淨。」隨心所願皆圓滿是諸眾等人各胡跪，嚴,2616,,嚴,
滿,55,，病起多端，理宜色不滿容，行不正履。怒而不,7194,,不,
滿,56,。」婦至崗南，見菜生滿地。古翂父為吏所陷，,10858,,，,
滿,57,後欲求骨以葬。時白骨滿野，無由可辨，乃刺血,11136,,血,
滿,58,有重開之日，蟾蜍見復滿之期。惟有雙親，無多,12085,,多,
滿,59,節放生。謂歲終時、夏滿時、忌辰時，隨力所及,15274,,及,
滿,60,，三界四府萬靈，十方滿空賢聖。今當第三時中,352,,中,
滿,61,融五性而皈一性，十身滿足，萬德俱圓。慈愍故,410,,故,
滿,62,藏海。」隨心所願皆圓滿(加持釋迦說懺悔真言,979,,言,
滿,63,父母及宗親。行願悉圓滿，同證菩提果。願佛加,1226,,加,
滿,64,溪谷深俱曠，清泉常流滿。以愍所生母，普及於,1314,,於,
滿,65,淨法身毗盧遮那佛*圓滿報身盧舍那佛*三類化,1467,,化,
滿,66,親顧復之勞，致一乘圓滿之地。遂使在家菩薩，,2993,,，,
滿,67,語。何以故？母懷我身滿足十月，生我身時半死,4193,,死,
滿,68,，頓發菩提出愛纏。劫滿三祗方殺賊，行舖六度,10102,,度,
滿,69,，超出一切世間，以圓滿音普為大眾說陀羅尼，,10905,,，,
滿,70,。故知一乘之養是為圓滿，是為究竟，是為廣大,11413,,大,
滿,71,乘菩薩，猶滯化門；圓滿一乘，方為究竟。夫親,11656,,親,
滿,72,兒似月光。自利利他俱滿足，更無一物獻尊堂。,12143,,。,
滿,73,想成，應作二想，乃至滿一室想，滿一閻浮提想,13209,,想,
滿,74,二想，乃至滿一室想，滿一閻浮提想，滿三天下,13214,,下,
滿,75,室想，滿一閻浮提想，滿三天下想，如是漸廣，,13221,,，,
滿,76,三天下想，如是漸廣，滿十方界：見東方眾生盡,13232,,盡,
滿,77,安，猶如火宅，眾苦充滿，甚可怖畏。又當想念,14783,,念,
滿,78,持發菩提心真言心月圓滿真言)(行香投詞宣疏,15112,,疏,
滿,79,淨法身毗盧遮那佛*圓滿報身盧舍那佛*三類化,15443,,化,
滿,80,賢聖巍巍盡讚揚。法雨滿空甘露灑，道場何處不,1565,,不,
滿,81,霏法雨，楊枝灑處，遍滿壇場。普願霑濡，使含,1784,,含,
滿,82,願諸佛菩薩以慈悲力，滿一切心，鑒懇禱於周旋,1887,,旋,
滿,83,。宜憑檀信之所求，圓滿道場之勝事。再勞清眾,2010,,眾,
滿,84,一心頭面敬禮「波羅蜜滿足，淨性覺智慧，勝心,2522,,心,
滿,85,，花果隨時奉二親。果滿三祗成正覺，邪徒猶自,4826,,自,
滿,86,「喪則致其哀，終宵淚滿腮。心喪於永劫，莫若,7475,,若,
滿,87,善戒，追慕瞿曇。三祗滿，度親事畢，方是保家,9433,,家,
滿,88,波羅還知否？「三祗果滿證菩提，女子腹中叉著,9897,,著,
滿,89,，頓發菩提出愛纏。劫滿三祗方殺賊，行鋪六度,9955,,度,
滿,90,，演說三乘報二親。圓滿一乘為究竟，至真至孝,10311,,孝,
滿,91,兒似月光。自利利他俱滿足，更無一物獻尊堂。,10391,,。,
滿,92,報恩會上沐恩波。咦，滿門貴眷呈祥瑞，萬古光,10767,,光,
滿,93,味馨香充法界，繽紛遍滿於娑婆。咦，施主虔誠,10815,,誠,
滿,94,霑時心垢淨。」南無三滿哆。勃陀喃。阿缽囉底,161,,底,
滿,95,罪真言「三身四智俱圓滿，五教三宗悉混融。方,1489,,方,
滿,96,場周沙界。」南無。三滿多。沒馱喃。阿缽囉底,1777,,底,
滿,97,底。三迷伽耶。三迷三滿多。奴揭諦。缽囉乞嘌,1797,,嘌,
滿,98,釋迦牟尼佛真言南無三滿多。勃馱喃。薩婆乞麗,2440,,麗,
滿,99,。雲集聖賢真言南無三滿多。勃陀喃。薩婆怛他,2834,,他,
滿,100,吽。施無畏真言南無三滿哆。勃馱喃。薩婆怛他,3499,,他,
滿,101,賢。惟希納受鑒丹衷，滿我檀那廣大願。」唵(,3831,,(,
滿,102,。爍缽囉耶。悉殿都。滿陀囉尼。娑婆訶。兢兢,4784,,兢,
滿,103,。如來舌相咒南無。三滿哆。勃馱喃。摩訶摩訶,5649,,訶,
滿,104,賢。唯希納受鑒丹誠，滿我檀那廣大願。」唵(,8055,,(,
滿,105,為霑嘗，萬劫千生常飽滿。」唵(引)。薩哩嚩,3421,,嚩,
滿,106,賢。惟希納受鑒丹誠，滿我檀那廣大願。」唵(,3710,,(,
滿,107,龍王、優缽難陀龍王、滿足龍王。說此法時，彼,5509,,彼,
滿,108,大願波羅密咒南無。三滿哆。勃陀喃。伐折囉。,6453,,。,
滿,109,礙力波羅密咒南無。三滿哆。沒馱喃。三摩多。,6480,,。,
滿,110,大智波羅密咒南無。三滿多。沒馱喃。摩竭伽。,6523,,。,
滿,111,馱耶。又娑麼娑麼。三滿多。嚩婆娑。娑婆囉拏,7098,,拏,
滿,112,耶耶。尾摩馱耶。又三滿多。缽利秫帝。薩嚩怛,7504,,怛,
滿,113,囉。馱都。加持心月圓滿真言「心地無塵境界寬,7695,,寬,
滿,114,照法筵，一一普令皆圓滿。」唵(引)。底瑟吒,7729,,吒,
滿,115,隔了用雲母滑石細研鋪滿實封固養火三日冷開其,976,,其,
滿,116,子元宮成圓珠一顆十月滿足脫胎神化紫陽曰十月,1719,,月,
滿,117,半子時自有霞光照鼎面滿室而明鉛含五彩發輝於,2775,,於,
滿,118,海蟾雲回首循環蕩霞光滿室生呂公雲溫溫鉛鼎光,2801,,光,
滿,119,月通靈修成大道三千功滿鉛凝汞結水制火伏至藥,3854,,藥,
滿,120,心安體泰丹無不成十月滿足有時日紫河車自降也,4662,,也,
滿,121,十六日金精壯盛魂魄圓滿諭女子十五十六時天癸,4863,,癸,
滿,122,爲上功既勝之後糧食盈滿河車搬運直入泥丸旣入,5812,,入,
滿,123,金霞玉氣珠彩祥煙瑞光滿於空中雲藏九重聖藏雲,109,,雲,
滿,124,青龍髓根蔕出黃芽金銀滿我家若將濟人命人命永,772,,永,
滿,125,東運入明堂正德寳華光滿五彩霞生兮化青青之土,2222,,土,
滿,126,中有留光聚寳臺寳華圓滿光明開光皎潔五色紅璃,4169,,璃,
滿,127,交二八陽極陰生兮乾體滿退陽就陰兮轉受於巽巽,2746,,巽,
滿,128,黑白虧盈吉或兇吉當圓滿兇卻缺神明變氣失符節,5053,,節,
滿,129,則陰侵其陽陰立則陽不滿陽不能勝其陰厥陰鼓風,5551,,風,
滿,130,富國安民諸辰經歷神氣滿室五氣交併神降奔突氣,6672,,氣,
滿,131,足三光合度兔魄生光月滿東方月滿復虧陰祲已前,7165,,前,
滿,132,度兔魄生光月滿東方月滿復虧陰祲已前十六受統,7169,,統,
滿,133,固爲不可加焉聖人慮其滿而有溢故乃抑之慮其盈,1163,,盈,
滿,134,可以充乎四極而不以爲滿道之卷可以隱乎纖芥而,1531,,而,
滿,135,爲有餘悉皆虛其中以無滿空其蘊而受物又何必持,3318,,持,
滿,136,吾之所享長其保焉金玉滿堂莫之能守富貴而驕自,3435,,自,
滿,137,以直矣伐其功而盈至於滿假則窪何有也矜其能而,1708,,而,
滿,138,繁不以少爲弊多必盡理滿夭下不以爲非少必守法,3404,,法,
滿,139,懼虛不以爲欠盈不以爲滿凡此乃所謂大道也豈非,7200,,非,
滿,140,肖者大夫道包裹天地充滿六極洋洋乎大哉故似不,9848,,不,
滿,141,故不足者補蓋天道減盈滿補虛空毀強盛益衰弱人,12367,,人,
滿,142,院押劵頭用刺那符一道滿劵亦用淨明法印印二十,248,,十,
滿,143,溫火火候抽添七日期數滿周天奪造化玉容翻著紫,4018,,紫,
滿,144,匙逐旋挑入鍋內令七分滿用瓦片蓋頭再簇炭煎令,4666,,令,
滿,145,就序享芬芳之佳薦俟周滿之洪因今奉爲亡靈念玊,5270,,玊,
滿,146,位啓聖伏以應感分輝如滿十方之界㝷聲救苦願宏,869,,宏,
滿,147,之於精則能泝流入腦腦滿則能體強此深根無漏保,4483,,保,
滿,148,液灌頂銀浪衝開腦旣巳滿則八功德水通鼻通口復,4652,,復,
滿,149,以結中丹用之長久則髓滿骨堅百骸固宻不知有寒,4677,,寒,
門,1,急如律令左手煞文取天門炁入水灑淨淨身呪上眞,666,,眞,
門,2,律令左手藥又印訣取天門炁吹之淨心呪五炁正靈,706,,靈,
門,3,急急如律令右手鬥印天門炁召將隨意用書符存思,1022,,思,
門,4,帝上清大帝太清大帝四門天王五部火輪王都法主,1944,,主,
門,5,轉須用兩手雷局引上頂門出以訣掩耳作雷聲閃目,2343,,目,
門,6,知炁路而行持者也是法門衆多未嘗確論取炁之方,3271,,方,
門,7,治病馘祟先立淨室向天門仍備符具羅列在上次焚,4979,,焚,
門,8,六壬遁甲三傳四課三竒門皆從所出斯爲眞經之妙,6047,,妙,
門,9,時指午則午時醜上爲鬼門隂道明矣安有害也又法,6249,,法,
門,10,同今既𩔖以成集俱是同門而異戶歎夫獨學無友孤,6825,,孤,
門,11,天柱頂爲天宮耳爲𩀱市門腎炁傳肝肝炁傳心心炁,8754,,炁,
門,12,害生人以三光煞鬼符貼門上如著人身及六畜呪水,9264,,水,
門,13,月德日毎月丑日若婆羅門下降日巳上是也遇天雨,9502,,雨,
門,14,之正道達者悟之母入旁門曲徑耳真鉛即真一之炁,182,,炁,
門,15,之陽神陽神出入皆由天門天門初開時如大斧劈腦,2686,,腦,
門,16,神陽神出入皆由天門天門初開時如大斧劈腦不可,2688,,可,
門,17,劈腦不可驚動如嬰兒𩔨門宻室聖護未可輕出初出,2705,,出,
門,18,出時當分付興吾託定頂門恐有假名託象入我神舍,2819,,舍,
門,19,太陽移在月明中玄牝之門切要知幾人下手幾人稀,3116,,稀,
門,20,塞之上以木盆蓋之亦留門戶與下同逐月轉移門戶,702,,戶,
門,21,留門戶與下同逐月轉移門戶用之如四兩火子午卯,711,,卯,
門,22,未免含羞忍辱持鉢於人門閲盡丹經參求稽考皆無,2659,,無,
門,23,列九星中畫八卦下開八門立劍四維懸鏡祭祀三清,2653,,清,
門,24,卷世稀聞莫向愚癡説此門漏洩天機遭橫禍祕藏神,2887,,神,
門,25,焉昔人不輕易授受漢期門郎程偉妻通神變化煎水,3212,,水,
門,26,四儲華谷註乾坤者易之門戶衆卦之父母坎離匡郭,18,,坎,匡
門,27,坤之合體徃來闔闢故曰門戶交錯而生六十四卦故,46,,故,
門,28,關不行後不省方塞兊閉門不傷稚陽之長自然子陽,1646,,陽,
門,29,生擣治併合之馳入赤色門固塞其際會務令致完堅,4086,,堅,
門,30,最爲神四象以合塞兊閉門無思無爲以固際之及陰,4174,,陰,
門,31,乾爲大赤故曰馳入赤色門始文使可修者爲修丹進,4202,,進,
門,32,而趨時漸歷大壯使列卯門榆莢墮落還歸本根刑德,1282,,德,
門,33,性自然迫促時陰拘畜禁門慈母養育孝子報恩嚴父,2578,,父,
門,34,使鬼道不通故曰拘畜禁門也陽金制木使不得生火,2742,,火,
門,35,而相循故爲亂辭孔竅其門智者審思以意參焉九鼎,182,,鼎,
門,36,悟探端索其緒兮必得其門戶天道無適莫兮常傳與,1464,,與,
門,37,莖相連同出異名皆由一門非徒累句諧偶斯文殆有,2289,,有,
門,38,合也口四八口者玄牝之門出入變化具四象八卦鼎,2542,,鼎,
門,39,人皆有中乃三才交姤之門戶在天地爲天地之根在,2647,,在,
門,40,天地之根在人爲玄牝之門坐垂溫陰在上陽下奔此,2663,,此,
門,41,處中得安存來去逰不出門漸成大情理純卻歸一還,2822,,還,
門,42,得養生之要坎二則火也門庭者是開竅爲心也心之,1905,,之,
門,43,耒耜市貨衣裳舟楫牛馬門柝杵臼弧矢棟宇棺槨書,3727,,書,
門,44,地獄即往東極天界救苦門庭救苦地上好修行只有,2046,,有,
門,45,狂相侵弔頸枷鎖相侵穢門閉瘴相侵年月日時不利,2261,,利,
門,46,者獲被殃之罪供養尊禮門戸興隆世世昌熾與善因,4213,,因,
門,47,善因緣萬災不幹神明護門(玉淸文)供養尊禮獲,4232,,獲,
門,48,華蕩形七月屬申申爲人門是以自度己身按存思口,5645,,口,
門,49,以得度十月屬亥亥爲天門是以上爲帝王安鎮國祚,5707,,祚,
門,50,上以手拂香入鼻想入頂門泥丸次飲水浴下若大沐,6270,,沐,
門,51,鼓也想其聲如鼓上震頂門響徹三十二天心拜三十,6635,,十,
門,52,-024b>三炁從頂門出外盈一室交絡身形纏,7100,,纏,
門,53,史(法曰伯史乃人身命門中一神名此神專昇降三,8130,,三,
門,54,施爲並先叩齒九通自天門入元綱流演<md:K,9961,,K,
門,55,肺炁也下通內戸日月之門丹房金宮在內腎方三寸,3177,,寸,
門,56,良字含樞紐西方七寶金門皓靈皇老白帝姓上金諱,4665,,諱,
門,57,斷絕天徒界上屍道色欲門免天官驅雷逐電之役(,6311,,(,
門,58,斷絕地徒界中屍道愛欲門免地官擔沙負石之役(,6334,,(,
門,59,斷絕人徒界下屍道貪欲門免水官漣汲溟波之役(,6357,,(,
門,60,爲八難度第一色累苦心門免泰山地獄苦道(申),6400,,),
門,61,1a>度第二愛累苦神門免風刀地獄苦道(寅),6444,,),
門,62,(寅)度第三貪累苦形門免擔沙負石苦道(亥),6462,,),
門,63,(亥)度第四華競苦精門免填海作河苦道(巳),6480,,),
門,64,(巳)度第五身累苦魂門免吞火食炭鑊湯苦道(,6498,,(,
門,65,奕天(蒼炁)帝大擇法門帝諱精上主度學者之身,9358,,身,
門,66,百二十人能開五戸之苦門名列太玄(上淸文)靈,10282,,靈,
門,67,命魔保舉學人事無拘天門(乾文)靈官一百二十,10337,,十,
門,68,002-034a>天門法曰太玄魔王監舉度人,10385,,人,
門,69,則太玄魔王監舉得昇天門玄師曰人之生也上有十,10423,,十,
門,70,34b>王監舉得昇天門皆骨肉同飛上昇玉淸之,10552,,之,
門,71,經鬥中有七星曰貪狼巨門祿存文曲廉貞武曲破軍,10755,,軍,
門,72,根翹機貫億厯洞朗闢四門大有混皇眞糺制星宿魂,11727,,魂,
門,73,)中央黃天大魔王姓天門諱波往大魔王衣玄文之,12401,,之,
門,74,羣但欲遏人算斷絕人命門阿人歌洞章以攝北羅酆,13691,,酆,
門,75,宿之分總入上元金闕之門龜山丹皇紫文空洞靈章,1955,,章,
門,76,迴與鬥連厯度四七入金門(明於元綱流演圖中),1980,,),
門,77,陽之霞上承靑宮神虎之門接通肺炁也又與大胃交,2193,,交,
門,78,之會也湧金爲墻結玉爲門眞土玉液之闕也金臺玉,2300,,玉,
門,79,五穴卽是集五臟之精會門也有自然紫雲之炁交帶,2377,,帶,
門,80,元炁發自明堂宮右腎命門上爲九天之根屬西北乾,2637,,乾,
門,81,火絳宮左旋流循腦後風門玉枕宮循入左目日宮右,2671,,右,
門,82,003-009b>顖門靈谷總出上元所謂上通,2795,,通,
門,83,文)度命君也在臍下命門宮諱天眞液字飛生上英,3198,,英,
門,84,籙在左下合延居腎守命門也號命門君亦姓桃諱迴,3605,,迴,
門,85,合延居腎守命門也號命門君亦姓桃諱迴孩字合精,3609,,精,
門,86,)長生大君(在臍下命門宮)元始狀絳衣<md,3723,,d,
門,87,道貴生無量度人上開八門飛天法輪罪福禁戒宿命,4393,,命,
