variant,type,character,count
弭,preceding,答,1
弭,preceding,沙,1
弭,preceding,賴,1
弭,preceding,野,1
弭,preceding,嚕,1
弭,following,。,4
弭,following,三,1
弭,following,哩,1
弭,following,百,1
彌,preceding,須,12
彌,preceding,阿,6
彌,preceding,。,6
彌,preceding,沙,4
彌,preceding,炁,3
彌,following,勒,15
彌,following,羅,9
彌,following,。,8
彌,following,山,4
彌,following,陀,3
偉,preceding,。,2
偉,preceding,，,2
偉,preceding,程,1
偉,preceding,銀,1
偉,preceding,謂,1
偉,following,哉,4
偉,following,妻,1
偉,following,從,1
偉,following,骨,1
滿,preceding,圓,26
滿,preceding,三,12
滿,preceding,，,10
滿,preceding,功,5
滿,preceding,遍,4
滿,following,足,10
滿,following,，,7
滿,following,多,7
滿,following,室,6
滿,following,空,6
瞞,preceding,像,1
瞞,preceding,明,1
瞞,preceding,嗊,1
瞞,following,天,1
瞞,following,暗,1
瞞,following,癡,1
門,preceding,法,29
門,preceding,之,28
門,preceding,天,17
門,preceding,命,10
門,preceding,沙,10
門,following,，,27
門,following,中,11
門,following,。,10
門,following,戶,9
門,following,免,8
每,preceding,。,4
每,preceding,，,4
每,preceding,法,3
每,preceding,大,3
每,preceding,匱,3
每,following,一,9
每,following,日,7
每,following,月,5
每,following,兩,3
每,following,至,3
輩,preceding,我,5
輩,preceding,耀,2
輩,preceding,此,1
輩,preceding,凡,1
輩,preceding,餘,1
輩,following,，,4
輩,following,相,3
輩,following,分,1
輩,following,皆,1
輩,following,亦,1
