variant,total_count,percentage_of_total,frequency_per_10k_chars,average_frequency_across_files,files_found_in,most_common_preceding,most_common_following,total_contexts
們,0,0.0,0.0,0.0,43,,,0
偉,2,1.2987012987012987,0.07338883975913783,0.035394554818973446,43,。 (2),哉 (4),7
弭,1,0.6493506493506493,0.03669441987956892,0.029004507300434492,43,答 (1),。 (4),7
彌,15,9.740259740259742,0.5504162981935338,0.33806556694035955,43,須 (12),勒 (15),88
懣,0,0.0,0.0,0.0,43,,,0
每,20,12.987012987012985,0.7338883975913784,0.5594920715874362,43,。 (4),一 (9),65
滿,20,12.987012987012985,0.7338883975913784,0.5979841763848578,43,圓 (26),足 (10),149
瞞,2,1.2987012987012987,0.07338883975913783,0.17232911414218874,43,像 (1),天 (1),3
輩,12,7.792207792207792,0.44033303855482697,0.2284820329339218,43,我 (5),， (4),12
門,82,53.246753246753244,3.008942430124651,2.240586593582117,43,法 (29),， (27),312
