variant,context_id,context_text,position,source_file,preceding_char,following_char
滿,1,隂陽不測之謂神德行圓滿之謂仙觀其冨貴夀考厚,1042,,厚,
滿,2,令熱以手摩額上至頭上滿二九十八止名曰泥丸也,3836,,也,
滿,3,㑹靈安和血氣使靈津凝滿帝一欣宅所謂衝氣不勞,329,,勞,
滿,4,兆遇二十四過行鍊祝功滿德加名標上清二十四年,2374,,年,
滿,5,神故令枉橫極其惡原考滿形灰滅巳九泉縱有玄名,5753,,名,
滿,6,㑹靈安和血氣使靈津凝滿帝一欣宅所謂衝氣不勞,331,,勞,
滿,7,遇二十四過行此鍊祝功滿德加名標上清二十四年,2435,,年,
滿,8,神故令枉橫極其惡原考滿形灰滅巳九泉徒有玄名,5810,,名,
滿,9,惡炁入也徐縮鼻莫大極滿極滿難還入五息巳一息,89,,息,
滿,10,入也徐縮鼻莫大極滿極滿難還入五息巳一息可吐,91,,吐,
滿,11,百一十息鍊炁還令腹平滿平滿藏炁不大令出閉炁,165,,炁,
滿,12,十息鍊炁還令腹平滿平滿藏炁不大令出閉炁七十,167,,十,
滿,13,日道至九旬之時精炁充滿靈神開張懦者而剛弱者,1173,,者,
滿,14,日始飲藥食炁初以九口滿飲爲法後日減一餐十日,1340,,日,
滿,15,胎飲以醴泉祝畢以舌漱滿一口之中玄膺內外及舌,519,,舌,
滿,16,此日是日魂下接飛根盈滿水毋羣夢之時也行之十,3475,,十,
滿,17,中巳魂各噓氣三十過令滿宮中也毎臨食饌之時皆,7306,,皆,
滿,18,上清眀鑑要經滿九凡行持先沐浴齋戒解,6,,經,九
滿,19,)皆㕮咀以毒藥上安之滿枕中布囊以衣枕百日面,1757,,面,
滿,20,騎天官兵士將吏皆當備滿某身出即彌天蓋地隠即,4090,,即,
滿,21,惡習以性成負越禁誡罪滿虛空自罹咎舋無功可謝,7585,,謝,
滿,22,宮方一寸紫房緑室朱煙滿內其中有泥九太一眞君,453,,君,
滿,23,養九氣結形九月神布氣滿能聲身尚神具九天稱慶,388,,慶,
滿,24,何巍巍飆飆結落通寂寂滿八丘三素生影雲虛光照,233,,照,
滿,25,流修身保命安國甯家行滿功成身超三界昇拔根祖,152,,祖,
滿,26,不可長欲不可從志不可滿樂不可極罪莫大於可欲,515,,欲,
滿,27,妙前功見驗可進次功功滿成眞高卑隨行有功無行,1127,,行,
滿,28,行持功仙眞自舉善功圓滿以降吉祥性旁修行明分,1179,,分,
滿,29,苦之處亦呼所痛處神名滿三即差更不過呼三以朱,812,,朱,
滿,30,佛乃能知之者乃至十地滿心菩薩觀佛境界如羅縠,1192,,縠,
滿,31,種子異名言具足者是圓滿義即多聞也為由多聞數,3435,,數,
滿,32,轉殊勝故能感得報相圓滿恒生八相變化土中。䟽,4364,,䟽,
滿,33,若不尓者或有乃至七地滿心方能永伏一切煩𢙉雖,5126,,雖,
滿,34,生故者懷素和尚解雲行滿今生即證佛果名為現報,6050,,報,
滿,35,寶而間錯也四者地相遍滿一切世界故五者因相出,6245,,出,
滿,36,三覺故自覺覺他覺行圓滿今䟽雲金剛聖道二障巳,9640,,巳,
滿,37,道中無漏道俻者先顯覺滿義冥真者證真理故契德,9668,,德,
滿,38,顯第二義合此兩句即覺滿義簡菩薩也如大夢覺喻,9863,,喻,
滿,39,香蘭芬馥兼將此喻喻覺滿義惣𤗊上義如花相圓滿,9929,,滿,
滿,40,滿義惣𤗊上義如花相圓滿。䟽如月生雲際至遂令,9939,,令,
滿,41,大洲等色界中有身量圓滿如本有形與衣俱生慚愧,11308,,愧,
滿,42,十力無畏十八不共悉皆滿俻至波羅奈初轉法輪阿,12321,,阿,
滿,43,言設復有人得一閻浮提滿中珠寶猶不如請一持戒,13610,,戒,
滿,44,連言正使有人得二天下滿中七寶實不如請一清淨,13642,,淨,
滿,45,雲無滅復自說言正令得滿四天下珠寶其利猶復不,13701,,不,
滿,46,去其幞百味飲食案器悉滿如是餘時在所應意若令,13948,,令,
滿,47,如是餘時在所應意若令滿得四天下寶刼盡之時理,13959,,理,
滿,48,色紫金三十二相眾好畢滿光明殊赫出家學道成最,14193,,最,
滿,49,如林形長十丈皆生菓實滿枝條上猶如頭子林騰既,17631,,既,
滿,50,千嵗一增一減為一刼數滿二十刼終時即此住刼稱,17940,,稱,
滿,51,刼㝡後增至八萬四千方滿二十各有增減名一住刼,17966,,刼,
滿,52,十方飢饉七年七月七日滿聚骨運籌多滅亡為彼之,19810,,之,
滿,53,俱舍說即是第二無數刼滿逄燃燈佛非百刼中所超,21121,,超,
滿,54,數故俱舍頌雲三無數刼滿逆次逄勝觀(勝觀即毗,21143,,毗,
滿,55,說法故第十地中福慧圓滿行相可解。䟽或四惣持,3654,,持,
滿,56,明。䟽七支無缺戒德圓滿故者七支即身三語四如,4021,,如,
滿,57,解脫戒二俱無缺名戒德滿也。䟽表心與境冥至智,4065,,智,
滿,58,。䟽表結使俱亡斷德圓滿者即不被煩𢙉繫縛漂溺,4183,,溺,
滿,59,毫光者法花䟽雲彌勒道滿當生因成現世逄緣不少,6306,,少,
滿,60,遍知者第三號也至知正滿故者即達偽通真號也言,7277,,言,
滿,61,煩𢙉障證生空理故知正滿故者簡菩薩知未滿故。,7321,,。,
滿,62,知正滿故者簡菩薩知未滿故。䟽如次配之斷德恩,7329,,恩,
滿,63,百由旬深亦如是天水盈滿四寶為塼疊其底岸花果,7908,,果,
滿,64,既恆無間即諸功德皆圓滿故。䟽三輪俻故者既具,8523,,具,
滿,65,三)悉鈿覩(二十四)滿怛囉(二合)鉢娜娑嚩,1588,,嚩,
滿,66,秋，明力成就，所求願滿。佛母大孔雀明王經捲,1703,,捲,
滿,67,)覩禰嚩(無愽反)三滿帝曩(八十二)伊(上,3435,,上,
滿,68,慈，杖足龍王亦起慈，滿賢龍王我慈念。無熱惱,3639,,惱,
滿,69,等，哩使迦龍我慈念，滿耳車面亦起慈，句洛迦,3805,,迦,
滿,70,)覩禰嚩(三十二)三滿帝曩(三十三)捺捨蘇,4697,,蘇,
滿,71,(二合)(二十三)三滿多跋捺㘑(二合)(二,5160,,二,
滿,72,散怛𪘨妬(四十七)三滿帝曩(四十八)曩(引,6325,,引,
滿,73,)底裏弭裏(十六)三滿怛多(入)訖㗚(二合,7736,,合,
滿,74,喃(百二十四)悉鈿覩滿怛囉(二合、引)鉢那,9056,,那,
滿,75,)弭拏(引)(十八)滿怛囉(二合)跛娜娑嚩,9445,,嚩,
滿,76,慕㘑曀嚕慕㘑(二)三滿多慕隷(三)阿(引),9598,,),
滿,77,囉灑(二合)覩禰嚩三滿帝曩(若息災祈願時應,11165,,應,
滿,78,某甲並諸眷屬，求所願滿)(五)呬哩弭裏(六,11188,,六,
滿,79,，常在邑城住；寶賢及滿賢，住梵摩伐底；能摧,1019,,摧,
滿,80,勝神，住在半尼國；圓滿大藥叉，末羅耶國住；,1200,,；,
滿,81,；勝財藥叉神，住居陸滿國；氣力大藥叉，毘囉,1389,,囉,
滿,82,羅藥叉，羯得迦國住；滿面藥叉神，奔拏󰹺達那,2472,,那,
滿,83,敵，無有能勝者，名稱滿諸方，具足大威德，天,2702,,天,
滿,84,)(六十一)三(去)滿多跛捺㘑(二合)(六,3526,,六,
滿,85,力，皆具光明，形色圓滿，名稱周遍，是多聞天,5018,,天,
滿,86,力，具大光明，形色圓滿，名稱周遍，天阿蘇羅,6115,,羅,
滿,87,力，具大光明，形色圓滿，名稱周遍，天阿蘇羅,6503,,羅,
滿,88,力，具大光明，形色圓滿，名稱周遍，天阿蘇羅,6980,,羅,
滿,89,力，具大光明，形色圓滿，名稱周遍，天阿蘇羅,7347,,羅,
滿,90,力，具大光明，形色圓滿，名稱周遍，天阿蘇羅,7755,,羅,
滿,91,力，具大光明，形色圓滿，名稱周遍，天阿蘇羅,8212,,羅,
滿,92,力，具大光明，形色圓滿，名稱周遍，天阿蘇羅,8616,,羅,
滿,93,力，具大光明，形色圓滿，名稱周遍，天阿蘇羅,9054,,羅,
滿,94,力，具大光明，形色圓滿，名稱周遍，天阿蘇羅,10061,,羅,
滿,95,二合)賀(八十二)三滿多跋捺囉(二合)野娑,11870,,娑,
滿,96,明】賀(八十三)賀三滿多跋捺囉(二合)野娑,11907,,娑,
滿,97,敵，有大光明，形色圓滿，名稱周遍，天與修羅,13500,,羅,
滿,98,哩(二)計跛知(三)滿膩滿膩底計(四)賀㘑,480,,㘑,
滿,99,二)計跛知(三)滿膩滿膩底計(四)賀㘑賀㘑,482,,㘑,
滿,100,(七)昝謀嚩底(八)滿帝曼膩底計(九)阿麼,1137,,麼,
滿,101,求願之時應雲)悉鈿覩滿怛羅(二合)鉢那(二,1511,,二,
滿,102,)弭拏(引)(四十)滿怛囉(二合)鉢娜(四,1743,,四,
滿,103,吉祥，眾聖加持，所求滿足。「復次阿難陀！若,7276,,若,
滿,104,必雨，令彼求者，隨意滿足。「阿難陀！此佛母,7495,,母,
滿,105,十方世界恆河沙諸佛。滿虛空中。各放光明如因,204,,因,
滿,106,十九遍。別持是陀羅尼滿十萬遍。即獲壽命。病,776,,病,
滿,107,先須彩書普賢菩薩。如滿月童子形。五佛頭冠。,814,,。,
滿,108,。及持金剛壽命陀羅尼滿十萬遍。即增壽命除夭,957,,夭,
滿,109,。受持讀誦此陀羅尼。滿九十萬遍。無量劫來五,261,,五,
滿,110,人皆信受。誦此陀羅尼滿十萬遍者。得見聲聞緣,424,,緣,
滿,111,有重罪不得見者。更誦滿十萬遍。即境界中吐出,452,,出,
滿,112,見如上相者。應當更誦滿七十萬遍。決定得見如,673,,如,
滿,113,香薰之。內外塗香。盛滿香水並好香花置曼茶羅,858,,羅,
滿,114,念誦一遍作一結。如是滿二十一結。與病人小男,1205,,男,
滿,115,。時別一千八十遍即得滿願。一切安樂一切三寶,1677,,寶,
滿,116,若夫不樂婦。取淨瓶盛滿香水。別置淨處。以瞿,2010,,瞿,
滿,117,遍。印成一塔。如是數滿六十萬遍。即得覩見聖,2333,,聖,
滿,118,藏菩薩。隨其心願皆得滿足。或見授與仙神妙藥,2371,,藥,
滿,119,繞菩提樹像。行道念誦滿一百萬遍。即見佛菩薩,2424,,薩,
滿,120,等諸塔之前。念誦右繞滿七七日。即見阿鉢羅是,2672,,是,
滿,121,底菩薩。隨其所願皆悉滿足。若須仙藥即便授與,2699,,與,
滿,122,蟲蟻之類。以好淨土填滿築平。取新瞿摩夷並好,3127,,好,
滿,123,塗作八角曼茶羅。猶如滿月或似八葉蓮華。即以,3247,,以,
滿,124,三世諸佛菩薩。福智圓滿種種功德。我今隨喜。,3458,,。,
滿,125,相八十種好紫磨金色圓滿身光。想已以手契。觸,4948,,觸,
滿,126,」「訶字置兩足其色猶滿月行者作是想速得達圓,5194,,圓,
滿,127,數。念者即想自心如一滿月。湛然清淨內外分明,5736,,明,
滿,128,八臂。若求十波羅蜜圓滿十地者。應觀十臂。若,6219,,若,
滿,129,微若布羅迦果(漢言子滿果此間無西國有)第六,7350,,六,
滿,130,得消除。所有願求隨意滿足。阿難陀若有苦惱災,265,,災,
滿,131,除去瓦礫地中穢物。填滿淨土築令平正。其土本,354,,本,
滿,132,四盞。四門各置二淨器滿盛香水。於壇東安佛母,1078,,母,
滿,133,上散印真言曰。曩莫三滿多勃馱(引)南(一),1850,,),
滿,134,消除。所有祈願皆得圓滿。爾時阿難陀聞佛世尊,2341,,尊,
滿,135,無量樂)寶座華臺處處滿(願往生)隨心受用光,2861,,光,
滿,136,無量樂)涅槃莊嚴處處滿(願往生)見色聞香罪,3173,,罪,
滿,137,無量樂)地上虛空聖人滿(願往生)珠羅寶網自,3653,,自,
滿,138,無量樂)地上虛空聲遍滿(願往生)聽響聞音皆,3917,,皆,
滿,139,無量樂)地上虛空人遍滿(願往生)神通轉變自,4829,,自,
滿,140,無量樂)寶樹寶林行遍滿(願往生)一一林樹盡,6293,,盡,
滿,141,心見(無量樂)佛身圓滿無背相(願往生)十方,6698,,方,
滿,142,無量樂)一一渠中華遍滿(願往生)或開或合人,6989,,人,
滿,143,薩塵沙眾(願往生)遍滿虛空來供養(無量樂),7332,,),
滿,144,樂(願往生)復現神變滿虛空(無量樂)光光相,7479,,相,
滿,145,死(無量樂)棘刺叢林滿三界(願往生)山河大,7827,,大,
滿,146,皆閉(願往生)一一身滿不相妨(無量樂)一臥,8414,,臥,
滿,147,佛菩薩眾(願往生)遍滿神通極樂界(無量樂),9876,,),
滿,148,地(願往生)下足金華滿世界(無量樂)本住他,9975,,他,
滿,149,壽(無量樂)聲聲連注滿十念(願往生)念念消,13299,,消,
滿,150,願往生)菩薩聖眾皆充滿(無量樂)自作神通入,13625,,入,
滿,151,也神龍右驍衛大將軍金滿州都督張掖公蘇農金山,2374,,山,
滿,152,史真祐陳媯姓舜後胡公滿受封於陳後為楚所㓕以,4207,,以,
滿,153,叔興之後唐倉部郎中惠滿生伾刑部郎中廬江襄安,4834,,安,
滿,154,能校書郎袁媯姓舜胡公滿之後字或作爰轅其實一,2739,,一,
滿,155,助廣宗今宋城縣朂生芘滿芘生嶽滿生尼夲居滎陽,7752,,陽,
滿,156,宋城縣朂生芘滿芘生嶽滿生尼夲居滎陽中牟孫才,7756,,才,
滿,157,羌憲)填潰莊子有赤張滿(按此條誤移於此詳/,207,,/,
滿,158,邱以為氏王孫周有王孫滿衛有王孫賈楚有王孫由,1559,,由,
滿,159,南代人本居雲陽魏有閻滿孫善善曽孫慶周少司空,14253,,空,
滿,160,公曽孫武生整右衞將軍滿州刺史生懐人馮翊狀雲,4971,,雲,
滿,161,陳留魏志有校尉典韋生滿洗又音線南海人見姓苑,308,,苑,
滿,162,奉御慈皓巴州刺史生持滿左衛郎將下邳漢丞相趙,961,,趙,
滿,163,西魏侍中生元彧元曽孫滿(案唐世系表/滿作行,7930,,行,
滿,164,曽孫滿(案唐世系表/滿作行滿)諫議大夫給事,7938,,事,
滿,165,(案唐世系表/滿作行滿)諫議大夫給事中彧隋,7941,,隋,
滿,166,(案荘子/有赤張)(滿稽若孔子弟子史記家語,12967,,語,
滿,167,晉鎮南將軍王歆騎督國滿討張昌於隋郡(案晉書,13788,,書,
滿,168,書新野王歆遣騎督/靳滿討張昌非國氏也國)(,13808,,(,
滿,169,討張昌非國氏也國)(滿未/詳)塞姓苑雲人姓,13819,,姓,
滿,170,中宗竟從之仁願表留年滿鎮兵以助其功時鹹陽兵,7225,,兵,
滿,171,本太昊之墟周武王封媯滿於陳春秋時楚滅之秦滅,5134,,滅,
滿,172,全節縣本是隋末土人李滿率鄉人據堡贍以家財武,7882,,武,
滿,173,於堡置譚州及平陵縣以滿為譚州總管貞觀元年廢,7908,,廢,
滿,174,屬齊州十七年燕亮搆逆滿及男君球固守賊平縣廢,7932,,廢,
滿,175,管縣六易淶水容城遂城滿城五迴易縣(上郭下/,2350,,/,
滿,176,並雄武冠時因號英雄城滿城縣(中東北至州一百,2909,,百,
滿,177,置永樂縣天寶元年改為滿城縣以縣北故滿城為名,2973,,名,
滿,178,年改為滿城縣以縣北故滿城為名五迴嶺在縣西北,2980,,北,
滿,179,言欲畋於江北豫州刺史滿寵度其必襲西陽遂先為,3758,,為,
滿,180,隂侯開三百年當塞後不滿百年當為應運者所開權,2599,,權,
滿,181,曰沙井緜歴古今沙填不滿水極甘美懸泉水在縣東,3792,,東,
滿,182,裏無魚水自生如海鹽月滿則鹽多而甘月虧則鹽少,5365,,少,
滿,183,金剛萬天金剛橫空金剛滿虛金剛萬丈金剛分身金,3432,,金,
滿,184,間將諸侍從無鞅數衆遍滿虛空若有善男子善女人,3658,,人,
滿,185,法敗黷道要以求利用贓滿罪積生身被考種種苦惱,1320,,惱,
滿,186,樊又哭女樊哭子感逝妻滿月相唁第十卷律詩代曲,971,,曲,
滿,187,㕔前栢夜別筵三泉驛河滿子丁溪館望海亭第二十,2418,,十,
滿,188,患不立雖困道亦亨微哉滿山鳥叫噪何足聽春鳩春,394,,春,
滿,189,徒煩鳥噪集不語山嶔岑滿院青苔地一樹蓮花簮自,1024,,自,
滿,190,潛虯躍鬰律驚左右霆電滿室光蛟龍逐奮走何人爲,2572,,爲,
滿,191,尚青飄蕭北風起皓雪紛滿庭行過冬至後凍閉萬物,2865,,物,
滿,192,者也予因作詩以辨之穆滿志空闊將行九州野神馭,1687,,馭,
滿,193,管草沒奉誠園軒車昔曾滿孤竹迸荒園誤與蓬麻列,1931,,列,
滿,194,可忍其旱亦巳頻臘雪不滿地膏雨不降春惻惻詔書,175,,書,
滿,195,湖/中地名)去年湖水滿此地覆行舟萬恠吹高浪,2799,,浪,
滿,196,緱山鶴日暮分手歸楊花滿城郭秋夕逺懷旦夕天氣,537,,氣,
滿,197,簾牖重次第籠虗白樹影滿空牀螢光綴深壁悵望牛,776,,牛,
滿,198,簾外雨倐閃案前燈書卷滿牀席蟰蛸懸復升啼兒屢,969,,屢,
滿,199,月非暗又非明文案牀席滿卷舒贓罪名慘悽且煩勌,1403,,勌,
滿,200,奬眞元隨內修神恬津藏滿氣委支節柔衆處豈自異,2007,,異,
滿,201,歩屣青龍閣我在山館中滿地桐花落酬樂天書懷見,742,,見,
滿,202,風土異衾禂時節殊荒草滿田地近移江上居八日復,1177,,復,
滿,203,朝昏君衣不盈篋君食不滿囷君言養旣薄何以榮我,1406,,我,
滿,204,閑自酌坐看鸎鬭枝輕花滿尊杓葛巾竹梢掛書卷琴,387,,琴,
滿,205,各自好詎雲芳意沉初日滿堦前輕風動簾影旬時得,496,,得,
滿,206,炎景繁英盡寥落公署香滿庭晴霞覆欄藥裁紅起高,627,,高,
滿,207,鏡中髮華白三四莖豈無滿頭黑念此衰巳萌微霜纔,890,,纔,
滿,208,獨秋豈念百草死但念霜滿頭頭白古所同胡爲坐煩,1156,,煩,
滿,209,淺塘水擁雪深竹欄復此滿樽醁但嗟誰與歡玉泉道,1712,,道,
滿,210,新政縣今夕復明辰窴窴滿心氣不得說向人奇哉趙,2500,,趙,
滿,211,一言理爲師陳苦言揮涕滿十指未死終報恩師聽此,2807,,此,
滿,212,過橋雲勢正橫壑江流初滿槽(江/槽)(楚/語,883,,語,
滿,213,地上胡與越終天升沉異滿地網羅設心有無聯環腸,952,,腸,
滿,214,莖削削緑萍面上紅衣落滿地明月思啼螿高屋無人,1304,,人,
滿,215,鐃吹臨江返城池隔霧開滿船深夜哭風棹楚猿哀杜,1881,,杜,
滿,216,落句雲他生莫忘靈山座滿壁人名後復稀展共吟他,1955,,他,
滿,217,漸覺老人稀欲別孫翁淚滿衣未死不知何處去此身,2214,,身,
滿,218,度經過眼暫明今日重看滿衫淚可憐名字巳前生憶,2287,,憶,
滿,219,四十韻哭子十首感逝妻滿月相唁夜閑(此後並/,109,,/,
滿,220,轉易驚風簾半鈎落秋月滿牀明悵望臨堦坐沉吟遶,140,,遶,
滿,221,騎馬回寒煙半堂影燼火滿庭灰稚女憑人問病夫空,430,,空,
滿,222,荒隴坐卻望逺村行驚覺滿牀月風波江上聲君骨久,1491,,久,
滿,223,稚癡狂撩亂走繡毬花仗滿堂前病身一到繐帷下還,1946,,還,
滿,224,荀令香銷潘簞空悼亡詩滿舊屏風扶牀小女君先識,2006,,識,
滿,225,放使令舊衣和篋施殘藥滿甌傾乳媼閑於社醫僧婗,2271,,婗,
滿,226,皆有應與暮年心不同妻滿月日相唁十月辛勤一月,2935,,月,
滿,227,踏錦茵軒車隘南陌鍾磬滿西鄰出入張公子嬌奢石,668,,石,
滿,228,朝起新晴助晩嬉相歡常滿目別處鮮開眉翰墨題名,2289,,名,
