variant,total_count,percentage_of_total,frequency_per_10k_chars,average_frequency_across_files,files_found_in,most_common_preceding,most_common_following,total_contexts
們,0,0.0,0.0,0.0,760,,,0
偉,18,0.3550996251726179,0.032676588368114844,0.023270793112752194,760,王 (5),哉 (4),50
弭,36,0.7101992503452358,0.06535317673622969,0.04431316197102281,760,) (69),膩 (41),223
彌,173,3.4129019530479385,0.31405832153799257,0.24509481690255255,760,* (220),勒 (572),1797
懣,1,0.019727756954034326,0.0018153660204508243,0.0010760463474682783,760,憤 (1),。 (2),7
每,532,10.495166699546262,0.9657747228798386,1.5527906456084435,760,。 (182),等 (171),1052
滿,337,6.648254093509568,0.6117783488919278,0.6464636995017016,760,圓 (544),。 (255),2268
瞞,2,0.03945551390806865,0.0036307320409016486,0.0044055172770177614,760,曹 (2),有 (1),4
輩,228,4.497928585519826,0.413903452662788,0.44910184398463704,760,四 (52),經 (33),235
門,3742,73.82126652199645,6.793099648526985,8.070678690084067,760,沙 (5454),外 (1223),16051
