variant,context_id,context_text,position,source_file,preceding_char,following_char
彌,1,嚴莊整服列侍天儀蓋天彌地方位左右依法領押監,3531,,監,
彌,2,扶命六天敢當諸天擁護彌劫相防急急如太上玉皇,3692,,皇,
彌,3,今以去與某等常相鎮守彌劫長存七眞啓奏上聞無,3951,,無,
彌,4,一合來下天眞乘騎蓋天彌地流精電轉掃蕩六天羣,4872,,羣,
彌,5,衞甲左右前後流明耀電彌天蓋地掃除不祥神光朗,5625,,朗,
彌,6,出入真騎徃來可仰可希彌髙彌廣則晉攜手常生撫,4319,,撫,
彌,7,真騎徃來可仰可希彌髙彌廣則晉攜手常生撫袂旦,4321,,旦,
彌,8,是非二十九者聞人彈議彌行非法三十者侵損三寳,4414,,寳,
彌,9,五丈吏兵在地從上至下彌羅蓋覆一宅將領兵馬玄,5243,,玄,
門,1,下拯三界於羣生開眞法門於大光度天人於福橋濟,370,,濟,
門,2,千萬重天宮正眞各從朱門妙闕而還職位七眞所啓,3419,,啓,
門,3,得元吉慈眞降覆某家合門受恩甲今上啓無極大道,5742,,道,
門,4,南宮衣廚自然慶流某家門大小所疾除愈或某事解,6090,,解,
門,5,二萬重天官正眞各從朱門妙闕而還職位甲所啓上,6215,,上,
門,6,斥罕共遵行遂使晚學初門莫詳孰是既多方䘮道則,175,,則,
門,7,倦造經鑄像者得生天王門經曰信樂經法依科奉行,2051,,行,
門,8,榭宮房或處星辰日月之門或居煙雲霞霄之內或自,3034,,自,
門,9,有軌制凡有六種一者山門二者城郭三者官掖四者,3162,,者,
門,10,經樓鐘閣師房歩廊軒廊門樓門屋玄壇齋堂齋廚寫,3236,,寫,
門,11,鐘閣師房歩廊軒廊門樓門屋玄壇齋堂齋廚寫經坊,3238,,坊,
門,12,院大小寛窄量時所宜開門啓窓皆令得所當門安帳,3817,,帳,
門,13,宜開門啓窓皆令得所當門安帳座著天尊左右鋪牀,3825,,牀,
門,14,漢逺矚星躔外啓四景之門旁開八風之牑令仙軿出,4299,,出,
門,15,旦夕可得矣科曰衆妙之門徃來之逕羣真之戶出入,4341,,入,
門,16,之居面不可闕也凡諸觀門皆須造閣或立樓上安觀,4370,,觀,
門,17,級大小事屬一時兩下三門在時奢儉凡是別院皆須,4397,,須,
門,18,守常周為定式科曰凡觀門左右皆別開車馬牛驢出,4430,,出,
門,19,右皆別開車馬牛驢出入門不得於正門中來徃科曰,4442,,曰,
門,20,馬牛驢出入門不得於正門中來徃科曰師房在天尊,4447,,尊,
門,21,至十二級皆按本經欄纂門牓並須如法科曰凡是殿,4620,,殿,
門,22,曰凡淨人坊皆別院安置門戶井竈一事巳上並不得,4665,,得,
門,23,法衆例科曰凡有俗客或門徒若本部宮人皆別安俗,4798,,俗,
門,24,四極神立天之四隅或天門地戶長一千二百丈按劍,971,,劍,
門,25,聲邪精畏伏若天尊都治門戸殿堂左右皆立其像防,1034,,防,
門,26,非胎誕而得也今之觀內門戶殿堂經藏並制其像也,1073,,也,
門,27,積業惡物天尊威伏使備門守關洞穴牆圻防非也科,1320,,科,
門,28,雲帙閉以霞扄使三洞分門四輔殊統寔天人之良藥,1657,,藥,
門,29,書從心所欲復以總別二門遍生歸向總者盡三洞寳,1791,,寳,
門,30,其勤苦善能營始利益法門者擇此五者立為綱紀整,3438,,整,
門,31,軌若於中有一行損於法門則不可立復有虛妄之人,3465,,人,
門,32,十五者廣運誠心成就法門令不破不壞為永劫福田,3995,,田,
門,33,宅以此二十五事綱紀法門成就功徳當令過去見在,4024,,在,
門,34,又有三十事不可綱紀法門檢校常住一者常於三寳,4053,,寳,
門,35,運心偏曲永無成就令法門破壞損失福田二十六者,4357,,者,
門,36,易三寳二十七者依託法門自取聲利穢汙經教二十,4385,,十,
門,37,燈臺燈檠燭檠燈籠壇纂門牓香合法具事事種種或,312,,或,
門,38,間安三洞四輔使相區別門上皆置鎻鑰左右畫金剛,1037,,剛,
門,39,令蟲入毎經像諸院並房門行路皆懸照明內外不得,1307,,得,
門,40,常當誦念轉讀若身之後門人同學校録供養不得洩,814,,洩,
門,41,使人天悟道長登解脫之門生死歸真並出輪廻之浪,1183,,浪,
門,42,三寳願齋官宅舎安寜闔門和睦至心稽首正真三寳,1415,,寳,
門,43,禍滅長居福慶善縁之中門戶清貴子孫昌熾世世享,2082,,享,
門,44,鬼神災毒疫煞侵害兆之門戸家室男女長幼若有邪,987,,邪,
門,45,若有欲來侵害(某)家門戸干犯正法弟子之者將,1255,,將,
門,46,上所有禁忌太歳大將軍門丞戸尉井竈並(某)家,1876,,家,
門,47,自今以去不得使(某)門戸更相招引災殃橫厄隂,2005,,隂,
門,48,鬼神爲兇禍侵害(某)門戸大小男女而不臣正法,2045,,法,
門,49,付律官若爲福者利某家門三天玉司生官並鎭宅將,2227,,將,
門,50,紋命素絹錢等以付法師門下也法師得弟子命米絹,2893,,絹,
門,51,筭十若依年限奉送法師門下則司命加兆筭十皆如,3068,,如,
門,52,籙以鎭帝主國王宮閤之門上也七眞曰十方及諸上,3231,,上,
門,53,各各封是靈籙於諸天瓊門玉閤之上也況復下界天,3260,,天,
門,54,無極世界百姓男女人家門若有災𦍙變怪妖異猖亡,3603,,亡,
門,55,弟子封是靈籙鎭於官宅門戸上者則使人神澄氣清,3712,,清,
門,56,天擁護三界之宮俱來衞門天神地祇奉承正法弟子,3738,,子,
門,57,來稽首朝拜靈籙並營衛門庭無敢生害心者無上三,3760,,三,
門,58,十方天人正法弟子若家門有諸疾患厄㑹隂陽水火,3788,,火,
門,59,律曰十方天人地兆若家門增口三年之後則應更封,3871,,封,
門,60,之後則應更封靈籙者家門失福減口三年之後亦當,3886,,當,
門,61,地兆封靈籙之後弟子家門不得招引非人故氣師姑,4025,,姑,
門,62,君律令七眞曰弟子若家門怖畏並有不祥光異怪魅,4529,,魅,
門,63,略與兇人更相招引出入門戸若爲天官司糺弟子家,4799,,家,
門,64,正法律曰十方天人出入門戸皆當存心思神像見將,4973,,將,
門,65,旣逺即許命米準弟子家門男女八節本命之日以供,5825,,供,
門,66,也若不準齋又不送法師門下準罪九幽八煞律論無,5852,,無,
滿,1,來經曰子孫豐多富貴圎滿者從廣行佈施求福中來,2710,,來,
滿,2,通冥曰存思五色雲氣覆滿一室青龍白虎獅子玄龜,186,,龜,
滿,3,願齋官罪累蕩除福慧圎滿至心稽首正真三寳願天,1455,,天,
滿,4,獻真聖下及衆生普同飽滿福流齋官如水歸海食訖,1584,,訖,
滿,5,吏兵等各三十六萬人布滿十方俱來鎭防營衞(某,2542,,某,
輩,1,豬羊六畜中經曰偷盜四輩信施財物者見世得顛狂,655,,狂,
輩,2,生欺負心三者不得於四輩施物生欺負心四者不得,3717,,得,
輩,3,忽心五者不得於中年時輩生凌忽心六者不得於諸,3746,,諸,
輩,4,物生欺負心三者常於四輩施物生欺負心四者於諸,4087,,諸,
輩,5,生凌忽五者於諸中年時輩常生凌忽六者於諸下座,4113,,座,
輩,6,在法徒一切衆生三塗苦輩籍此善根悉得體觧大乗,1093,,乗,
每,1,凡天尊形像金銅寳玉者每至月十五日設齋香湯洗,1520,,洗,
每,2,陽左右間左三洞右四輔每藏皆作臺舉之不得正爾,2017,,爾,
每,3,者姦詐所為矯妄十七者每事發心皆不成就十八者,4237,,者,
每,4,當此說戒時諸天並稽首每至首終齊唱善禮一拜總,2787,,總,
每,5,不有望天尊言修奉清戒每合天心常行大慈願為一,3031,,一,
