variant,type,character,count
彌,preceding,天,2
彌,preceding,護,1
彌,preceding,守,1
彌,preceding,電,1
彌,preceding,希,1
彌,following,地,2
彌,following,劫,2
彌,following,天,1
彌,following,髙,1
彌,following,廣,1
滿,preceding,圎,2
滿,preceding,覆,1
滿,preceding,飽,1
滿,preceding,布,1
滿,following,者,1
滿,following,一,1
滿,following,至,1
滿,following,福,1
滿,following,十,1
門,preceding,家,10
門,preceding,法,8
門,preceding,之,6
門,preceding,入,3
門,preceding,師,3
門,following,戸,8
門,following,戶,3
門,following,下,3
門,following,妙,2
門,following,不,2
每,preceding,者,2
每,preceding,輔,1
每,preceding,首,1
每,preceding,戒,1
每,following,至,2
每,following,藏,1
每,following,事,1
每,following,合,1
輩,preceding,四,3
輩,preceding,時,2
輩,preceding,苦,1
輩,following,施,2
輩,following,信,1
輩,following,生,1
輩,following,常,1
輩,following,籍,1
