variant,context_id,context_text,position,source_file,preceding_char,following_char
彌,1,金藏靈巖清虗雲住嶽須彌儼無為微燕口慧虗鳳湛,181,,湛,
彌,2,文*一百二十問*誡沙彌*第九卷*沙彌受戒文,641,,文,
彌,3,*誡沙彌*第九卷*沙彌受戒文*訓童行*第十,648,,十,
彌,4,大眾方可上牀。侍者沙彌參隨住持人下堂外排立,4354,,立,
彌,5,對立法座為上。然後沙彌童行轉身法座前問訊訖,317,,訖,
彌,6,別作一班次第巡堂。沙彌不巡堂在堂外面聖僧立,989,,立,
彌,7,上自知事頭首。下至沙彌童行。凡是眾中不如法,1200,,法,
彌,8,時小師侍者卑行法眷沙彌在一邊立。未得與大眾,2469,,眾,
彌,9,燈頭華嚴頭般若頭經頭彌陀頭。竝是外勸檀越增,853,,增,
彌,10,眼精明。竝勸令專念阿彌陀佛。祈生淨土。若勸,2018,,勸,
彌,11,(當有法語)。十念阿彌陀佛。再聲法事。罷散,830,,散,
彌,12,如病重之人即與十念阿彌陀佛念誦之法。先嘆彌,1475,,彌,
彌,13,彌陀佛念誦之法。先嘆彌陀佛罷。次白眾為某人,1485,,人,
彌,14,次白眾為某人長聲念阿彌陀佛四聖名號。𢌞向雲,1500,,雲,
彌,15,其心。安住不動。如須彌山。是知超凡越聖必假,2466,,假,
彌,16,否證大涅槃否」*誡沙彌未披剃前。準備五條(,3525,,(,
彌,17,禮見大僧。應稱某是沙彌。恣煩大僧答拜。既受,3595,,受,
彌,18,恣煩大僧答拜。既受沙彌戒法。應須憶念遵行。,3607,,。,
彌,19,應須憶念遵行。若犯沙彌戒。即不得六僧戒。常,3621,,常,
彌,20,。志求大戒。及讀誦沙彌戒經。書填狀式。某院,3647,,院,
彌,21,註禪苑清規第九卷*沙彌受戒文行者初請得度牒,13,,戒,行
彌,22,父母道業超隆。剃頭沙彌修行無障。三塗八難鹹,664,,鹹,
彌,23,有難思議」(三說。沙彌退身禮三拜)。引請闍,1243,,闍,
彌,24,如來戒廣度諸眾生」沙彌披袈裟訖(禮本師三拜,1410,,拜,
彌,25,方得事近大僧。次受沙彌十戒。乃可同僧利養。,1493,,。,
彌,26,三疊慈愍故三遍)。沙彌(第一第二第三各小禮,1751,,禮,
彌,27,三答)是事如是持。沙彌(大禮三拜。胡跪合掌,1883,,掌,
彌,28,出三塗之元首。次受沙彌十戒。即形備法儀。此,1919,,此,
彌,29,受利同僧。是為應法沙彌應當頂受。盡形受*不,1949,,不,
彌,30,金銀錢寶巳上十事是沙彌戒。汝能持否。(答雲,2024,,雲,
彌,31,三答)是事如是持。沙彌(大禮三拜。胡跪合掌,2077,,掌,
彌,32,同乘般若之舟。剃頭沙彌速至菩提之岸。四恩總,2442,,總,
彌,33,處世界收坐具起。令沙彌禮拜)。沙彌(大禮戒,2610,,戒,
彌,34,起。令沙彌禮拜)。沙彌(大禮戒師三拜。次禮,2616,,禮,
彌,35,三拜)。住持人(雲沙彌披剃有煩道用。即容詣,2777,,詣,
彌,36,三拜)。住持人(雲沙彌披剃有煩荷覺。即容詣,2840,,詣,
彌,37,)。住持人(雲此者沙彌受戒有煩證明。即容詣,2876,,詣,
彌,38,禮賀(大展三拜雲。沙彌得度。舉眾同歡。仰對,2906,,對,
彌,39,候。是時大眾纔退。沙彌禮三禮(雲叨圓頂相。,2963,,。,
彌,40,在得長命果報。是知沙彌救蟻不過數萬。尚感長,7023,,長,
彌,41,迦末法共結慈念之因。彌勒初成俱證無生之果。,7180,,。,
彌,42,知而所守不變故曰浩歌彌激烈又云非無江海志瀟,2545,,瀟,
彌,43,扇(引)帝孕(二合)彌俱嚕護多(引)舍曩(,5934,,(,
彌,44,引)野悉地孕(二合)彌鉢囉(二合)野蹉娑嚩,6185,,嚩,
彌,45,為上。佛言金剛手。阿彌陀佛毘盧遮那佛乃是三,150,,三,
彌,46,)怛他(引)誐多達裏彌(二合引)濕嚩(二合,1627,,合,
彌,47,金剛巘馱裏菩薩。金剛彌佉羅菩薩。復有彌佉羅,5380,,羅,
彌,48,金剛彌佉羅菩薩。復有彌佉羅菩薩。金剛少尼菩,5388,,菩,
彌,49,盡其力分以手足。擊須彌山終不能損。金剛手若,5895,,若,
彌,50,尼俱陀木鉢羅叉木。舍彌木乳木白檀木。如上諸,2426,,諸,
彌,51,裏惹(二合)夜(引)彌薩裏嚩(二合引)誐囉,2445,,囉,
