variant,type,character,count
們,preceding,他,49
們,preceding,你,33
們,preceding,公,17
們,preceding,我,14
們,preceding,圖,12
們,following,説,15
們,following,只,11
們,following,都,10
們,following,(,7
們,following,自,7
弭,preceding,以,460
弭,preceding,消,244
弭,preceding,可,198
弭,preceding,未,162
弭,preceding,),148
弭,following,節,407
弭,following,兵,263
弭,following,災,216
弭,following,(,151
弭,following,之,142
彌,preceding,須,2692
彌,preceding,沙,1639
彌,preceding,阿,1445
彌,preceding,之,1065
彌,preceding,。,856
彌,following,陀,3073
彌,following,勒,2980
彌,following,山,1057
彌,following,縫,926
彌,following,綸,812
偉,preceding,竒,658
偉,preceding,之,643
偉,preceding,甚,489
偉,preceding,雄,332
偉,preceding,英,289
偉,following,人,768
偉,following,哉,554
偉,following,之,505
偉,following,然,279
偉,following,觀,263
懣,preceding,憤,411
懣,preceding,憂,90
懣,preceding,煩,56
懣,preceding,(,30
懣,preceding,),23
懣,following,不,84
懣,following,也,71
懣,following,(,51
懣,following,之,38
懣,following,而,36
滿,preceding,不,3674
滿,preceding,圓,3096
滿,preceding,月,1260
滿,preceding,秩,1133
滿,preceding,充,1097
滿,following,。,1626
滿,following,天,1150
滿,following,三,1047
滿,following,眼,1044
滿,following,地,1026
瞞,preceding,曹,133
瞞,preceding,阿,131
瞞,preceding,鄋,80
瞞,preceding,人,73
瞞,preceding,難,65
瞞,following,。,168
瞞,following,人,96
瞞,following,他,36
瞞,following,(,34
瞞,following,我,28
門,preceding,之,9628
門,preceding,沙,8793
門,preceding,黃,7594
門,preceding,書,6603
門,preceding,法,6048
門,following,下,19309
門,following,。,11583
門,following,之,11366
門,following,外,10926
門,following,人,6983
每,preceding,。,1542
每,preceding,末,1389
每,preceding,大,1324
每,preceding,之,1232
每,preceding,人,1050
每,following,服,4109
每,following,一,2153
每,following,日,1818
每,following,有,1792
每,following,嵗,1777
輩,preceding,前,2847
輩,preceding,我,1067
輩,preceding,此,926
輩,preceding,吾,803
輩,preceding,之,769
輩,following,皆,564
輩,following,不,459
輩,following,之,427
輩,following,所,406
輩,following,。,381
