variant,total_count,percentage_of_total,frequency_per_10k_chars,average_frequency_across_files,files_found_in,most_common_preceding,most_common_following,total_contexts
們,148,0.08557732894653153,0.006549412621018154,0.005646825980474853,32155,他 (49),説 (15),199
偉,4562,2.6378633422572757,0.20188121876408666,0.23035041347914234,32155,竒 (658),人 (768),12322
弭,1575,0.9107046830458589,0.06969814106826752,0.06607460389222586,32155,以 (460),節 (407),5071
彌,8357,4.8322279595011075,0.36982054914762647,0.3435716993731785,32155,須 (2692),陀 (3073),34723
懣,400,0.23129007823386896,0.01770111519194096,0.015477937774127832,32155,憤 (411),不 (84),922
每,35112,20.302643067369015,1.5538038915485775,1.6214287732414498,32155,。 (1542),服 (4109),66406
滿,17112,9.894589546844914,0.7572537079112341,0.8326185460116377,32155,不 (3674),。 (1626),72369
瞞,495,0.2862214718144128,0.021905130050026936,0.016698657453910023,32155,曹 (133),。 (168),1359
輩,18649,10.783321672458555,0.8252702430362673,0.9310034420081174,32155,前 (2847),皆 (564),19811
門,86533,50.03556084952846,3.8293265022605674,3.9315775793433874,32155,之 (9628),下 (19309),303429
