variant,context_id,context_text,position,source_file,preceding_char,following_char
彌,1,摩伽提國，寂滅道場，彌加女村，自在天祠精舍,48,,舍,
彌,2,有迦波利婆羅門子，名彌勒，軀體金色，三十二,71,,二,
彌,3,髮梵志五百人等，遙見彌勒，威儀庠序、相好清,146,,清,
彌,4,有世界名勝花敷，佛號彌勒！恆以慈心，四無量,402,,量,
彌,5,算數劫，必得成佛而號彌勒。』「於是捨家即入,626,,入,
彌,6,今此眾中，婆羅門子，彌勒菩薩摩訶薩是。我涅,1639,,涅,
彌,7,河沙等無量諸佛先，先彌勒前得成佛道。汝等云,1875,,云,
彌,8,彼仙人得作佛時，如《彌勒菩薩下生經》說。」,2108,,」,
彌,9,，而白佛言：「世尊！彌勒成佛所說戒法，乃以,2163,,以,
彌,10,也顔子扵聖人之道仰之彌髙非髙而何鑚之彌堅非,5577,,非,
彌,11,仰之彌髙非髙而何鑚之彌堅非深而何王侯之門髙,5585,,髙,
彌,12,或能也若歴履萬死其執彌堅其志彌厲非仁者其能,5142,,能,
彌,13,歴履萬死其執彌堅其志彌厲非仁者其能乎方公之,5146,,之,
彌,14,吾侯榮矣又祝曰吾侯誕彌時維下夀底扵黃耇吾侯,6889,,侯,
彌,15,也退蔵扵密與天地同體彌綸六合與天地同用此之,2677,,之,
彌,16,茂淡之所成也海濵之地彌望斥鹵草木不生五穀不,4798,,不,
彌,17,日月爭光可也後其友李彌遜謂曰人生亦不解事事,87,,事,
彌,18,太虛之孫纉戎列祖積徳彌敦式我後昆詩不有言徳,2614,,徳,
彌,19,㳂革不同其道既文置官彌廣逮於戰國戎馬交馳雖,14396,,雖,
彌,20,在陪臣而取三歸故其俗彌侈織作氷紈綺繡純麗之,4109,,之,
彌,21,者不過數人蓋其曲)(彌髙其和彌寡琴操雲一曰,1021,,曰,
彌,22,人蓋其曲)(彌髙其和彌寡琴操雲一曰烈女引楚,1025,,楚,
彌,23,戰二拒用事若原繁髙渠彌以中軍奉公未嘗輕動深,1299,,深,
彌,24,一一修治。雖止雖觀。彌暗彌散。或動或靜。隨,4591,,隨,
彌,25,修治。雖止雖觀。彌暗彌散。或動或靜。隨境隨,4593,,隨,
彌,26,。有茲三義。所謂會之彌分。派之常合。雖一一,8327,,一,
彌,27,。古師雲。只一具字。彌顯今宗。故曰惟一具字,9233,,字,
彌,28,曰極樂國。名其身曰阿彌陀。身土交參。融乎一,10371,,一,
彌,29,梵宇分佈上下茂林平野彌望百里可謂大矣然考之,6221,,之,
彌,30,通官浦何家港通袁家港彌陀涇通斜塘港龍尖港通,1576,,通,
彌,31,港王墓塘王老涇封圩港彌陀涇龍尖港何家港瓦子,5096,,子,
彌,32,焉橋之北曰釣雪灘菱芡彌望茭葑蔚然湮塞江源特,9716,,特,
彌,33,復舊近年水患頻仍傾頽彌甚於萬厯六年備加樁石,10595,,石,
彌,34,水最大然曲阿地勢岡阜彌月不雨其所瀦即自索殊,10394,,殊,
彌,35,興二十八年計料開江陳彌作兩浙轉運判官隆興二,2894,,二,
彌,36,城市河越十六年郡守史彌堅復疏潔之邢燾嘉定中,4142,,中,
彌,37,施行詔從之兩浙運判陳彌作相度水利狀其畧曰常,21926,,常,
彌,38,兵卒侵據累土増髙長堤彌望名曰壩田旱則據之以,2129,,以,
彌,39,何時乃今周行海上但見彌望荒原廬井盡廢此皆東,15742,,東,
彌,40,連旬則有浸淫之患亢陽彌月則有枯稿之憂如之何,3500,,何,
彌,41,濬則水有蓄洩今歲霪雨彌月即髙田亦皆淹沒未幾,15208,,幾,
彌,42,後東南財賦始增至宋元彌盛然考之舊志宋纔三十,3309,,十,
彌,43,視以聞平江府委陳)(彌作相度彌作乃上其宜先,3775,,先,
彌,44,江府委陳)(彌作相度彌作乃上其宜先治者十浦,3779,,浦,
彌,45,招置額闕開江兵卒(陳彌作沈度又言新開諸浦/,3943,,/,
彌,46,淤)(土壅閼郡守史/彌堅復疏潔之)嘉泰三年,4807,,年,
彌,47,君兮嵗役天施我孫子兮彌豐年元呉淞江記失名其,2513,,其,
彌,48,旦而漂沒無筭今雨浹旬彌月而民幸不悉魚者伊誰,7316,,誰,
彌,49,譴其何以見於郊廟事幹彌災者亟集議以行輔臣惕,14031,,惕,
彌,50,垂憲萬䙫列聖紹之守而彌昌以迄皇帝早御明堂加,15332,,加,
彌,51,淪沒乃今雨輙浹旬甚至彌月向使川澤不除有若往,20485,,往,
彌,52,數則其相合之用如日月彌漫六合矣人命逢六合造,30539,,造,
彌,53,盡最為竒福祿崢嶸亦夀彌嵗運更行身旺地逢財身,26765,,身,
彌,54,幽㣲賦雲食神旺相老夀彌髙元理賦雲食居先煞居,28801,,居,
彌,55,亥月旺中惡死(己未李彌綸學士/庚午)(丙戌,683,,戌,
彌,56,閣老/丙子)(甲寅史彌逺丞相/丙寅)(癸未,14408,,未,
彌,57,若還無破害必敎富貴福彌深壬日時臨丁未就中暗,34713,,暗,
彌,58,早死末旬命星得地老壽彌髙老怕生旺少嫌死絶羊,2597,,羊,
彌,59,空房)刃帶墓刑吉而夀彌福厚兇而破㡌單衣(羊,31452,,羊,
彌,60,用財去印用印去財方發彌福正所謂喜者存之憎者,17220,,者,
彌,61,興早年夭折爵星旺老夀彌髙要知女命難婚定入背,18726,,背,
彌,62,不見之形百𣲖一源貴得彌身之地詳陳夲末&KR,21712,,R,
彌,63,脩羅迦樓羅聳身起舞須彌山頂帝釋天主高聲唱道,1422,,道,
彌,64,流出冷。度僧上堂甘霖彌八極起枯槁於田疇德澤,1520,,澤,
彌,65,震法雷兮鳴法鼓山門頭彌勒開眉佈慈雲兮灑甘露,1668,,露,
彌,66,可以超生死眼裏著卻須彌山耳裏能藏四海水蹋翻,2254,,翻,
彌,67,界靈照菜籃裏有百億須彌禾山擊著塗毒鼓聞者喪,3717,,喪,
彌,68,禪師入祖堂上堂頭枕須彌峯腳抵雲門麓芥孔裏遊,4959,,遊,
彌,69,灑灑落落自繇自在拈須彌山卓你眼裏掬四海水灌,5632,,灌,
彌,70,倒了舜若多神踢翻了須彌山王呼喝之間四大部洲,6689,,洲,
彌,71,縮四海水入一豪端納須彌山芥子孔內直得海龍王,7708,,王,
彌,72,上堂指座雲大眾看看須彌燈王如來玉齒嘮嘮咬文,8662,,文,
彌,73,出三頭六臂左手擎著須彌山右手掬著東海水你又,8761,,又,
彌,74,不喫也從君蜉蝣吞卻須彌山白牯蹋翻滄海水我在,9996,,在,
彌,75,是有箇漢總不恁麼他也彌綸八極融貫十方奴呼諸,821,,諸,
彌,76,裏貯百億香水海百億須彌盧盧舍那如來於摩醯首,3106,,首,
彌,77,袋子撦得粉碎喝散大眾彌勒菩薩也只得呵呵大笑,3165,,笑,
彌,78,三世千佛以虛空為口須彌為舌秖說得萬牛身中一,4032,,一,
彌,79,門大士誕辰上堂獨坐須彌峯吸乾四海水眼見則瞎,6013,,瞎,
彌,80,將下去你也總不知箇須彌山底軟硬四海水底鹹淡,7086,,淡,
彌,81,醫東西十萬南北八千須彌倒卓四海播遷剎竿頭上,7763,,上,
彌,82,鸞鳳鳴月高霜瓦鴛鴦影彌勒道場鬧市叢中梵王宮,436,,宮,
彌,83,趣亦不失三昧正受塵須彌吸滄海如佛身如法界出,967,,出,
彌,84,箇方可毛吞巨海芥納須彌拽取佔波國與新羅鬥額,1175,,額,
彌,85,迦老徒然飲氣匪入蓮邦彌陀佛且尚吞聲但臨行倉,1181,,倉,
彌,86,仙班諸天淨侶釋迦如是彌勒如是拄杖如是拂子如,2385,,如,
彌,87,善財始自文殊德雲以至彌勒普賢經歷一百餘城所,4078,,所,
彌,88,放下何妨隨處逍遙試看彌陀向山僧拂子頭上放白,7900,,白,
彌,89,津討箇末後句子豎拂雲彌陀覿面無回互何必池開,7978,,開,
彌,90,擎妙喜世界於掌中納須彌山王於毛竅即真即俗無,8061,,無,
彌,91,枯赤地千里四海波騰須彌震動且道與昔孝子是同,9400,,同,
彌,92,嚴世界海東方阿閦西方彌陀亦在許裏今日老僧受,9759,,受,
彌,93,坤去也直得四海波騰須彌震動於中人天八部魚龍,1133,,龍,
彌,94,城中打鼓顯聖寺裏舂米彌勒菩薩呵呵大笑十方諸,9482,,諸,
彌,95,銀色琉璃色瑪瑙色將須彌山四海水納在毛孔裏自,6304,,自,
彌,96,母未生前萬丈髑髏圜須彌山倒卓家家化楮錢曏者,6642,,者,
彌,97,辨雲念念釋迦出世步步彌勒下生為甚麼擬心即錯,1968,,錯,
彌,98,謂眾曰。虛空為鼓。須彌為椎。甚麼人打得。眾,3453,,眾,
彌,99,問座主。講甚經。主雲彌勒下生經。泉曰彌勒幾,3881,,幾,
彌,100,主雲彌勒下生經。泉曰彌勒幾時下生。主雲現在,3889,,在,
彌,101,天宮未來。泉曰天上無彌勒地下無彌勒。」【師,3910,,師,
彌,102,泉曰天上無彌勒地下無彌勒。」【師雲南泉等閒,3915,,閒,
彌,103,。你也動我也動。動到彌勒下生有甚了期。忽有,3973,,有,
彌,104,甚了期。忽有問天上無彌勒地下無彌勒。誰與安,3988,,安,
彌,105,有問天上無彌勒地下無彌勒。誰與安名。老僧直,3993,,直,
彌,106,此語傳之海內。直得須彌震動。大海波騰。阿脩,6014,,脩,
彌,107,燒浴次。僧問何不使沙彌。師撫掌三下。曹山雲,6187,,雲,
彌,108,雲烏臼只管據令而行。彌勒釋迦立在下風。試問,6561,,問,
彌,109,教他浴箇像心像意。待彌勒下生。我還要他把將,7683,,將,
彌,110,透乾坤。下透黃泉。須彌塞卻汝咽喉。還有人會,14085,,會,
彌,111,霹靂手。掀翻滄海蹴須彌。陣衄脩羅俱北走。兒,1847,,兒,
彌,112,蕭抴四鄰。】「雲門須彌山。」【須彌山。南州,2160,,州,
彌,113,「雲門須彌山。」【須彌山。南州之北北州南。,2166,,。,
彌,114,燒浴次。僧問何不使沙彌。園拊掌三下。」【尋,2683,,尋,
彌,115,。主中主。脩羅趯倒須彌柱。四海波翻怒不休。,7628,,。,
彌,116,談四諦。迦葉現傳衣。彌勒當來記。娑羅雙樹間,783,,間,
彌,117,來焦沃。同師大梵天。彌遮備陳告。曾憶阿私仙,1388,,仙,
彌,118,前後光明續。**六祖彌遮迦尊者大法係一身。,1434,,。,
彌,119,妙。無羈赤梢鯉。亦上彌遮釣。竟爾改前轍。遵,1588,,遵,
彌,120,公山。師年竟以暮。沙彌始十四。伯樂賜一顧。,4350,,。,
彌,121,如此住。雲巖道吾高沙彌枯榮。兩是兩不是。聲,5070,,聲,
彌,122,三角。大海飛紅塵。須彌波濯濯。長年不越閫。,6002,,。,
彌,123,得秦淮月郢陽光靉靉。彌勒樓中百億日。奪耀輝,6155,,輝,
彌,124,短販開箱走國賓。滯貨彌天略粗糙。飯飽便弄箸,6856,,箸,
彌,125,首覓。石女痛加鞭。須彌峯下七金山。杼盡湘江,7306,,江,
彌,126,是生心應如是住。一坐彌綸森羅在定。寂場聲化,1038,,化,
彌,127,齊一毛孔裏藏卻百億須彌澤利九法界眾生雲行而,707,,而,
彌,128,三王是甚麼天上天下無彌勒珊瑚林裏水晶宮琉璃,1415,,璃,
彌,129,珠圜淨石如來普照難窮彌陀佛福基兩造阿育王舍,2918,,舍,
彌,130,慶快不往琉璃佛國不生彌陀清泰於剎那際證入神,3780,,神,
彌,131,用不著舉拂子云釋迦如彌勒如眾生如世界如一如,4814,,如,
彌,132,窮月盡有一物剩放之則彌六合卷之則盡大地人索,5965,,索,
彌,133,光明直得七珍遍地八寶彌空不須尋討枉自他求分,7312,,分,
彌,134,死了燒了不須問踼倒須彌山一座生耶死耶何足言,8895,,言,
彌,135,處超世者之所住處爾時彌勒菩薩從別處來彈指作,10366,,作,
彌,136,帶雪棲。守真禪人火壽彌甲子事我十年端恭謹飭,10746,,飭,
彌,137,上添煤雪裏著鹽鐵圍山彌樓山大海江河移置他土,12752,,土,
彌,138,不道死不道靈骨依然鑽彌堅仰彌高肉團真宰茲者,12940,,者,
彌,139,不道靈骨依然鑽彌堅仰彌高肉團真宰茲者節屆中,12943,,中,
彌,140,相應鳴空天樂釋迦引前彌勒約後中間的是什麼人,13809,,人,
彌,141,秀州梵受蘇州朱明或應彌陀應宗會應福臻或過天,16319,,天,
彌,142,第二句薦得逢著觀音問彌勒第三句薦得舌拄上齶,1844,,齶,
彌,143,吐出清風一條鑌銕向須彌頂上一槌金剛山下透脫,4535,,脫,
彌,144,篆簾青。上堂釋迦巳滅彌勒未來北禪三門早閉晏,6581,,晏,
彌,145,次濟問毛吞巨海芥納須彌為是神通玅用為是法爾,6960,,爾,
彌,146,手捧缽雙足結跏誰家沙彌非佛祖一身帶影四體承,856,,承,
彌,147,音且喜到山深兵揚北闕彌天壯寇敗西山指日擒欲,1647,,欲,
彌,148,五祖演和尚雲釋迦巳滅彌勒未生森羅萬象推向一,3088,,一,
彌,149,果如山樂音齊響遂見須彌岌峇海水騰波天上天下,6928,,下,
彌,150,古人因甚靠此一著如須彌山師雲莫亂針錐僧雲和,4041,,和,
彌,151,和鳴螺唄交作白毫光內彌陀顧問雲你看是何境界,7421,,界,
彌,152,請敷揚師雲休𡱰沸乃雲彌勒未生釋迦巳滅佛法何,6663,,何,
彌,153,莫及雨露滋霈無從登須彌頂不足瞭遠入金剛際未,6781,,未,
彌,154,座。上堂單傳心印過犯彌天而今坐在老僧身上也,7466,,也,
彌,155,過日此其了信不了致成彌天過咎非遇大手眼人不,1565,,不,
彌,156,物受香水海而不溢載須彌山而不重方堪祖佛大任,3381,,任,
彌,157,目視伊若還不薦別喚沙彌仰山曰閑師弟會祖師禪,6765,,禪,
彌,158,問無情說法雲巖曰不見彌陀經水鳥樹林說法因而,7704,,而,
彌,159,。」【拈出箇同相。沙彌拜和尚。一樣團圞頭。,2280,,。,
