variant,type,character,count
們,preceding,特,372
們,preceding,你,214
們,preceding,圖,139
們,preceding,勒,136
們,preceding,我,86
們,following,徳,327
們,following,岱,56
們,following,德,49
們,following,河,32
們,following,都,25
弭,preceding,以,444
弭,preceding,消,259
弭,preceding,可,178
弭,preceding,未,108
弭,preceding,而,101
弭,following,災,360
弭,following,節,283
弭,following,盜,281
弭,following,之,161
弭,following,兵,150
彌,preceding,須,3342
彌,preceding,阿,2542
彌,preceding,沙,2459
彌,preceding,。,1165
彌,preceding,而,747
彌,following,陀,4657
彌,following,勒,3313
彌,following,山,1193
彌,following,。,936
彌,following,逺,673
偉,preceding,竒,431
偉,preceding,之,421
偉,preceding,雄,376
偉,preceding,俊,286
偉,preceding,甚,280
偉,following,哉,501
偉,following,人,469
偉,following,之,419
偉,following,然,389
偉,following,績,249
懣,preceding,憤,313
懣,preceding,煩,50
懣,preceding,憂,39
懣,preceding,懣,15
懣,preceding,忿,14
懣,following,不,64
懣,following,之,36
懣,following,而,29
懣,following,懣,15
懣,following,然,12
滿,preceding,圓,2731
滿,preceding,脹,2532
滿,preceding,不,2522
滿,preceding,腹,2056
滿,preceding,月,1447
滿,following,。,1882
滿,following,地,1405
滿,following,天,1211
滿,following,而,1207
滿,following,不,1165
瞞,preceding,曹,115
瞞,preceding,難,70
瞞,preceding,人,66
瞞,preceding,阿,65
瞞,preceding,自,64
瞞,following,。,143
瞞,following,人,127
瞞,following,不,65
瞞,following,我,46
瞞,following,昧,45
門,preceding,法,6703
門,preceding,之,6700
門,preceding,沙,6290
門,preceding,衙,6060
門,preceding,麥,5832
門,following,。,11479
門,following,外,9351
門,following,之,7660
門,following,下,7036
門,following,冬,6906
每,preceding,大,10202
每,preceding,末,6639
每,preceding,散,4795
每,preceding,篩,1888
每,preceding,咀,1714
每,following,服,27776
每,following,日,3132
每,following,一,2322
每,following,用,1874
每,following,嵗,1683
輩,preceding,前,1317
輩,preceding,吾,1002
輩,preceding,此,945
輩,preceding,我,937
輩,preceding,先,741
輩,following,。,518
輩,following,皆,488
輩,following,之,430
輩,following,不,381
輩,following,所,318
