variant,total_count,percentage_of_total,frequency_per_10k_chars,average_frequency_across_files,files_found_in,most_common_preceding,most_common_following,total_contexts
們,694,0.44092327045623486,0.037698360803026146,0.04143052437221801,17795,特 (372),徳 (327),1185
偉,4225,2.6842951263365884,0.22950370949969087,0.2722931587354982,17795,竒 (431),哉 (501),10348
弭,1283,0.8151362478319154,0.0696930791214446,0.06915235912153005,17795,以 (444),災 (360),3812
彌,6176,3.9238359053857446,0.3354828189041635,0.33674980535935584,17795,須 (3342),陀 (4657),30475
懣,225,0.14295062802975914,0.012222091038445076,0.012740034840911263,17795,憤 (313),不 (64),621
每,47942,30.4592844844565,2.604228838067262,2.263849668786176,17795,大 (10202),服 (27776),86656
滿,16771,10.655222145275959,0.9110075058033883,0.9785563778390436,17795,圓 (2731),。 (1882),77181
瞞,585,0.3716716328773738,0.031777436699957196,0.030442116266214243,17795,曹 (115),。 (143),1541
輩,15111,9.600564178478624,0.8208356341419712,0.9538444046110962,17795,前 (1317),。 (518),16091
門,64385,40.906116380871296,3.4974192511568276,3.6945026064078954,17795,法 (6703),。 (11479),240037
