variant,context_id,context_text,position,source_file,preceding_char,following_char
滿,1,叩齒存室內紫雲之炁徧滿來冠兆身金童玉女侍經,22,,經,
滿,2,兆七炁窻拘制盛血液盈滿五藏充十眞登黃房帝子,2821,,子,
滿,3,根得太和無爲登上清(滿景生/比孛通)黃素中,4968,,中,
滿,4,邊/宻宻相連故小腸水滿則膀胱少)(陽炁蒸之,4191,,之,
滿,5,一則二偶之借能虛則實滿之借能靜則動搖之惟聖,1277,,聖,
滿,6,投之谷非應響也而響自滿之耳小竅也谷大竅也山,4194,,山,
滿,7,寂然而不動也用之則彌滿六虛廢之則莫知其所其,7929,,其,
滿,8,參便是肉身聖賢三年行滿脫殻登仙一粒丹成神遊,8535,,遊,
滿,9,未聞美稼出荒田九年功滿火候足應物無心神化速,9102,,速,
滿,10,饑渴消除見真素他時功滿自逍遙初日鍊烹實勤苦,9564,,苦,
滿,11,當是時也白雪漫天黃芽滿地龍吟虎嘯夫唱婦隨玉,11680,,玉,
滿,12,鉛添汞結成聖胎十月既滿氣足形圓身外有身謂之,12100,,之,
門,1,庭開經玄蘊呪微微玄景門煥朗徹空同至道由靜黙,105,,黙,
門,2,光運珠正絳宮元陽部命門三神攜紫童拘制招上歸,818,,歸,
門,3,巾丹元君名也元陽昌命門下元元王君名也紫童太,1167,,太,
門,4,雄一之君易有九天西北門名帝㑹堂室之名,1473,,名,
門,5,一上景者乃眞一不二法門最上乗之妙道也連衆攝,207,,攝,
門,6,桃康玉符服符微祝曰命門桃康君名孩道康字合精,1800,,精,
門,7,孩道康字合精延一名命門一名胞根常鎭我臍中之,1815,,之,
門,8,胞根常鎭我臍中之關命門之外在臍下三寸其形方,1828,,方,
門,9,內保此長生王轉入十仙門八景齊洞陽(明柱子/,2153,,/,
門,10,君所居館名也孩道康命門桃康君名也召廣郷召登,2197,,登,
門,11,漠之郷也地戸者隂魔之門輔衛即封形閉債背土凌,2219,,凌,
門,12,毓華之林九扇者九重之門乃帝一胎尊所居之處帝,2444,,帝,
門,13,元泥丸中元絳宮下元命門也紫蓋者黃庭門名倉玉,2479,,玉,
門,14,下元命門也紫蓋者黃庭門名倉玉斌來生者節中黑,2486,,黑,
門,15,黃庭玉符服符微祝曰命門下一黃庭元王名始明精,2567,,精,
門,16,洞照清(三樂深/五達門)九曜者日名又云眼爲,3407,,爲,
門,17,明者日月也三樂深五達門者九天祝言皇上君內名,3481,,名,
門,18,裹之形也四明者玉帝南門之名也左挹右提者謂左,3709,,左,
門,19,身過始青白素起蕭仭金門衛朱兵七祖積屍結一化,4376,,化,
門,20,君圓華玉壽靈太張上玉門仗雲三仭明赤景翳逸寥,4881,,寥,
門,21,朱霄帝昌啓玉扉㧞屍命門內解結桃康階歛神保五,698,,五,
門,22,修之義也天衢乃西北天門之路也大洞白素玉符祝,819,,祝,
門,23,右元君名啓明蕭仭字金門上常鎭我下關之境(小,843,,小,
門,24,生青君按延昌左攜精上門右抱合和英我生日月華,944,,華,
門,25,者結中青炁君名也精上門者節中黒炁君名也赤子,1081,,子,
門,26,生太霞宮列賔館上清命門合精延守我身黃寧左攜,1883,,攜,
門,27,室中主延生之符重扉者門也合景君膽中八眞名十,2482,,十,
門,28,黒炁君名斌來生字精上門帝眞精䰟名幽臺王字灌,2813,,灌,
門,29,伏梁下戸在隂囊之後肛門之前二隂中央也上清八,2878,,八,
門,30,玄赤帝丹靈峙扶兆入金門月母靈景蘭守閉死炁關,2967,,關,
門,31,與腎相連結胎之戸也命門內宮外宮言入臍一寸內,3804,,內,
門,32,一寸內有一帯通丹田中門乃結胎之地外宮指腎之,3822,,之,
門,33,帝席上首之名關竅開通門戸窻櫺日月星曜光暎目,5302,,目,
門,34,洞六合黃庭眞一不二法門無扄三十死戸死炁常冰,5391,,冰,
門,35,震九矅耀八極五斗臨生門二十八宿君燦爛明天閽,5891,,閽,
門,36,池館一一明白大槩以生門死戸守雌抱雄爲主混合,6590,,合,
門,37,混合廻風祥煙慶雲戸塞門通太一命神滅魔摧兇執,6748,,執,
門,38,拘滯於幽關開以遷善之門俾方寸通明於眞性玄功,269,,功,
門,39,願與一切衆生俱人慈濟門永斷殺生業先靈受度永,1147,,永,
門,40,願與一切衆生俱入廉節門永斷竊盜業先靈受度永,1333,,永,
門,41,願與一切衆生俱入清淨門永斷邪淫業先靈受度永,1523,,永,
門,42,願與一切衆生俱入施捨門永斷慳貪業先靈受度永,1713,,永,
門,43,願與一切衆生俱入歡喜門永斷瞋怒業先靈受度永,1911,,永,
門,44,願與一切衆生俱入智慧門永斷愚癡業先靈受度永,2105,,永,
門,45,願與一切衆生俱入三乗門永斷兩舌業先靈受度永,2303,,永,
門,46,願與一切衆生俱入方便門永斷惡罵業先靈受度永,2493,,永,
門,47,願與一切衆生俱入讃歎門永斷綺語業先靈受度永,2679,,永,
門,48,願與一切衆生俱入頓覺門永斷妄言業先靈受度永,2881,,永,
門,49,生育艱難或鬼怪興妖家門多變能修香火懴禮禱祈,3262,,祈,
門,50,似泰山不搖不動把斷四門眼耳鼻舌口不令內入外,8488,,外,
門,51,頂五氣朝元可久入衆妙門玄之又玄也更能晝運靈,11797,,靈,
門,52,聚八水同歸萬神朝會之門金丹妙用之源乃歸根復,11898,,復,
門,53,虛寂便是也又問玄牝之門是謂天地根答曰玄者父,12734,,父,
彌,1,眞明正道至老長不易(彌勒車/大生彰)素炁鬰,4681,,鬰,
彌,2,心朝禮志心歸命禮太上彌羅無上天妙有玄眞境渺,957,,渺,
彌,3,用而虧性形成性動去道彌遠故溺於生死遷於陰陽,6199,,陽,
彌,4,其寂然而不動也用之則彌滿六虛廢之則莫知其所,7928,,所,
弭,1,衣乗青鸞位登聖統尊消弭累刼艱呼吸九靈炁錬造,5822,,造,
弭,2,毀無招天之譴人毀猶可弭天譴不可逭也道之所至,6863,,至,
瞞,1,計偷掠穿窬背公循私明瞞暗騙或盜父母財物君王,1262,,王,
每,1,紫清初從陳泥丸學丹法每遇日中之冬至則開乾破,11989,,破,
