variant,type,character,count
弭,preceding,消,1
弭,preceding,可,1
弭,following,累,1
弭,following,天,1
彌,preceding,(,1
彌,preceding,上,1
彌,preceding,道,1
彌,preceding,則,1
彌,following,勒,1
彌,following,羅,1
彌,following,遠,1
彌,following,滿,1
滿,preceding,功,2
滿,preceding,徧,1
滿,preceding,盈,1
滿,preceding,(,1
滿,preceding,水,1
滿,following,之,2
滿,following,來,1
滿,following,五,1
滿,following,景,1
滿,following,則,1
瞞,preceding,明,1
瞞,following,暗,1
門,preceding,命,11
門,preceding,之,5
門,preceding,金,3
門,preceding,上,3
門,preceding,法,2
門,following,永,10
門,following,之,4
門,following,下,2
門,following,名,2
門,following,桃,2
每,preceding,法,1
每,following,遇,1
