variant,total_count,percentage_of_total,frequency_per_10k_chars,average_frequency_across_files,files_found_in,most_common_preceding,most_common_following,total_contexts
們,0,0.0,0.0,0.0,5,,,0
偉,0,0.0,0.0,0.0,5,,,0
弭,0,0.0,0.0,0.0,5,消 (1),累 (1),2
彌,0,0.0,0.0,0.0,5,( (1),勒 (1),4
懣,0,0.0,0.0,0.0,5,,,0
每,1,4.761904761904762,0.3339344152808389,0.1557511097266568,5,法 (1),遇 (1),1
滿,4,19.047619047619047,1.3357376611233556,0.6230044389066272,5,功 (2),之 (2),12
瞞,0,0.0,0.0,0.0,5,明 (1),暗 (1),1
輩,0,0.0,0.0,0.0,5,,,0
門,16,76.19047619047619,5.342950644493422,7.32683319377702,5,命 (11),永 (10),53
