variant,context_id,context_text,position,source_file,preceding_char,following_char
彌,1,自述平生心跡之作，故彌足珍貴。這篇敘文的重,550,,重,
彌,2,本當亦根據梵文，定非彌勒菩薩所說。此則論文,2255,,文,
彌,3,乎。佛為二乘弟子說沙彌戒比丘戒。為在家二眾,2012,,眾,
彌,4,伽經雲。甯取人見如須彌山。不起無所有增上慢,8997,,慢,
彌,5,天堂地獄。一切大海須彌諸山。總在空中。世人,9067,,人,
彌,6,略哉靈宿古鄉中已作須彌座普使石火電光轉凡成,515,,成,
彌,7,宣畢師指法座雲大眾須彌燈王如來為汝等演大法,751,,法,
彌,8,山頭白浪飛騰海底紅塵彌播舜若多無處藏身畢陵,1595,,陵,
彌,9,又作麼生舉拂子云處處彌陀佛家家觀世音下座。,2167,,。,
彌,10,一回舉起一回新百億須彌百億身杓柄拈時獅子吼,2825,,吼,
彌,11,攝盡無餘舒一掌百億須彌盧拈來有據所以道大人,3160,,人,
彌,12,眉毛在甚麼處進雲法雨彌施塵界外現前無有不霑,3603,,霑,
彌,13,永祝無疆之壽和尚福壽彌天學人頓超十地爭如兩,3643,,兩,
彌,14,薦亡一句事如何師雲須彌𨁝跳進雲恁麼則亡靈歸,4043,,歸,
彌,15,持無量義門直得百億須彌盧𨁝跳大千香水海翻騰,5035,,騰,
彌,16,要舍靈獲本明下座。建彌勒殿上樑眾檀護請上堂,5396,,堂,
彌,17,堂師拈新法衣示眾雲須彌納芥錦上鋪花從真實心,5760,,心,
彌,18,佛真法身無物可喻萬德彌彰洪慈普利喝一喝遂展,5859,,展,
彌,19,復本真妻子恩深傷話別彌陀念切喜為鄰青桐葉落,9141,,落,
彌,20,在扣桌原無外芥子納須彌須彌還納芥尚笑頷之予,12518,,予,
彌,21,桌原無外芥子納須彌須彌還納芥尚笑頷之予欲披,12520,,披,
彌,22,覿面不相瞞虛空擊落須彌碎鞭影由來強指南。】,493,,】,
彌,23,佛威神力難藏隱裂破須彌面目巍。】「普眼菩薩,653,,薩,
彌,24,餘二六時中任卷舒自性彌陀須念徹不勞向外覓芙,4108,,芙,
彌,25,完初羽生民開屠居士「彌陀一句莫教忘覿體全彰,5894,,彰,
彌,26,邦端不在西方」「自性彌陀日現前不須向外覓金,5926,,金,
彌,27,步掀開白玉蓮」「一句彌陀念不休七重欄楯待君,5956,,君,
彌,28,力研透得未生前面目須彌山頂浪滔天」**悼蘭,7275,,蘭,
彌,29,示香海俊法孫「百億須彌香水海毫端拈出用無窮,7516,,窮,
彌,30,」**勸修淨業「一句彌陀念不休千賢同駕白蓮,7827,,蓮,
彌,31,草現丈六金身自山門而彌勒殿而大雄殿而禪堂丈,12194,,丈,
彌,32,亂一切諸佛念經(上俱彌勒經)問沙門(四十二,1032,,二,
彌,33,勝三昧等頌爾時世尊須彌法慧菩薩住法十行品十,1446,,十,
彌,34,安佚也性也顏淵曰仰之彌高鑽之彌堅瞻之在前忽,4748,,忽,
彌,35,也顏淵曰仰之彌高鑽之彌堅瞻之在前忽焉在後看,4752,,看,
彌,36,同歸乎右脅布袋和尚雲彌勒真彌勒分身千百億時,8596,,時,
彌,37,右脅布袋和尚雲彌勒真彌勒分身千百億時時度時,8599,,時,
彌,38,為牀身在海中誰是水須彌為座日來嶺上莫尋山假,4454,,假,
彌,39,造物中一物耳與共納須彌以芥子出虛空漚是此能,6119,,能,
彌,40,畫浮提於半刀以之駕須彌則量等須彌以之駕法界,246,,界,
彌,41,刀以之駕須彌則量等須彌以之駕法界則光充法界,251,,界,
彌,42,昨夜龍宮燻象藏灑落須彌遍地金持念心經者亦復,722,,復,
彌,43,作麼生看照咦。】**彌陀經「若一日至一心不,2977,,不,
彌,44,相融脫開對治則入門見彌陀出門遇釋迦折伏攝受,3198,,受,
彌,45,。」【此經乃世尊演說彌陀樂上功德故不可思議,3264,,議,
彌,46,也此是修行真常之路也彌陀釋迦曾如此護念十方,3367,,方,
彌,47,一念還有過也無門雲須彌山只今護念者不知有過,3418,,過,
彌,48,全無倘狂風陣發則海霧彌空而此山愈高愈大然非,5144,,非,
彌,49,也問如何打破荅拔倒須彌山踏穿香水海突出混沌,3328,,沌,
彌,50,目視伊若然不信便喚沙彌仰山曰師兄會得祖師禪,11707,,禪,
