variant,type,character,count
們,preceding,特,289
們,preceding,圖,257
們,preceding,我,201
們,preceding,你,185
們,preceding,勒,135
們,following,徳,225
們,following,都,138
們,following,(,74
們,following,河,62
們,following,汗,52
弭,preceding,以,364
弭,preceding,消,234
弭,preceding,可,174
弭,preceding,而,135
弭,preceding,象,128
弭,following,盜,536
弭,following,節,506
弭,following,災,249
弭,following,兵,226
弭,following,之,135
彌,preceding,須,4086
彌,preceding,阿,3187
彌,preceding,沙,2966
彌,preceding,。,1901
彌,preceding,而,1325
彌,following,陀,7084
彌,following,勒,4588
彌,following,山,1276
彌,following,。,1058
彌,following,逺,807
偉,preceding,竒,523
偉,preceding,之,470
偉,preceding,雄,459
偉,preceding,甚,399
偉,preceding,。,217
偉,following,(,879
偉,following,哉,614
偉,following,人,511
偉,following,之,391
偉,following,業,349
懣,preceding,憤,353
懣,preceding,煩,73
懣,preceding,憂,39
懣,preceding,志,33
懣,preceding,),15
懣,following,不,52
懣,following,(,50
懣,following,),39
懣,following,也,38
懣,following,之,33
滿,preceding,旗,12662
滿,preceding,(,5034
滿,preceding,不,2990
滿,preceding,圓,2461
滿,preceding,月,2151
滿,following,洲,31214
滿,following,漢,3511
滿,following,。,2425
滿,following,地,2269
滿,following,城,1669
瞞,preceding,難,221
瞞,preceding,曹,198
瞞,preceding,熱,162
瞞,preceding,人,139
瞞,preceding,自,126
瞞,following,。,410
瞞,following,人,174
瞞,following,不,104
瞞,following,他,90
瞞,following,我,79
門,preceding,之,8931
門,preceding,衙,8726
門,preceding,龍,8271
門,preceding,雲,8108
門,preceding,法,7354
門,following,外,27283
門,following,。,15433
門,following,之,12419
門,following,下,12294
門,following,人,9532
每,preceding,。,5149
每,preceding,之,2298
每,preceding,(,1772
每,preceding,者,1708
每,preceding,人,1609
每,following,年,6031
每,following,嵗,3927
每,following,日,3624
每,following,一,3321
每,following,月,2652
輩,preceding,前,1724
輩,preceding,之,1338
輩,preceding,此,1199
輩,preceding,先,1154
輩,preceding,我,1106
輩,following,。,1078
輩,following,皆,634
輩,following,不,460
輩,following,之,434
輩,following,出,403
