variant,total_count,percentage_of_total,frequency_per_10k_chars,average_frequency_across_files,files_found_in,most_common_preceding,most_common_following,total_contexts
們,1114,0.5011764600026093,0.038336235066285675,0.041249432193193075,27844,特 (289),徳 (225),1853
偉,4956,2.2296503911785748,0.17055150896634813,0.15736331702166217,27844,竒 (523),( (879),13909
弭,1537,0.6914795502908533,0.052892992187505455,0.05000422708367377,27844,以 (364),盜 (536),5275
彌,9121,4.103438502409156,0.31388222624738926,0.30483485542234334,27844,須 (4086),陀 (7084),45433
懣,238,0.10707360635603325,0.00819032670177378,0.006690030255808997,27844,憤 (353),不 (52),813
每,49681,22.350940493168434,1.7096790792891727,1.7179004927487165,27844,。 (5149),年 (6031),109126
滿,33129,14.904376071298426,1.1400728290044686,1.4277519959630727,27844,旗 (12662),洲 (31214),142496
瞞,1191,0.5358179208825025,0.040986046646271306,0.04862490459675153,27844,難 (221),。 (410),3162
輩,19809,8.911853228179254,0.6816898388043563,0.7325954438034962,27844,前 (1724),。 (1078),21068
門,101501,45.66419377623416,3.4929678594821025,3.607642000173412,27844,之 (8931),外 (27283),408112
